Number,Title,Author,Status
3,Addition of CALLDEPTH opcode,Martin Holst Swende,Withdrawn
67,"URI Scheme with Metadata, Value and Bytecode",Alex Van de Sande,Withdrawn
875,Simpler NFT standard with batching and native atomic swaps,"Weiwu Zhang, James Sangalli",Withdrawn
908,Reward clients for a sustainable network,"James Ray, Micah Zoltu",Withdrawn
999,Restore Contract Code at 0x863DF6BFa4469f3ead0bE8f9F2AAE51c91A907b4,Afri Schoedon,Withdrawn
1123,Revised Ethereum Smart Contract Packaging Standard,"g. nicholas d’andrea, Piper Merriam, Nick Gheorghita, Danny Ryan",Withdrawn
1154,Oracle Interface,Alan Lu,Withdrawn
1240,Remove Difficulty Bomb,Micah Zoltu,Withdrawn
1355,Ethash 1a,"Paweł Bylica, Jean M. Cyr",Withdrawn
1538,Transparent Contract Standard,Nick Mudge,Withdrawn
1682,Storage Rent,"Felix J Lange, Martin Holst Swende",Withdrawn
1706,Disable SSTORE with gasleft lower than call stipend,"Alex Forshtat, Yoav Weiss",Withdrawn
1890,Commitment to Sustainable Ecosystem Funding,"Gregory Markou, Kevin Owocki, Lane Rettig",Withdrawn
2025,Block Rewards Proposal for funding Eth1.x,James Hancock,Withdrawn
2458,Updates and Updated-by Header,Edson Ayllon,Withdrawn
2711,"Sponsored, expiring and batch transactions.",Micah Zoltu,Withdrawn
2733,Transaction Package,Matt Garnett,Withdrawn
2780,Reduce intrinsic transaction gas,"Matt Garnett, Uri Klarman",Withdrawn
2786,Ethereum Provider Connect/Disconnect Events,"Micah Zoltu, Erik Marks",Withdrawn
2972,Wrapped Legacy Transactions,Micah Zoltu,Withdrawn
3332,MEDGASPRICE Opcode,Justice Hudson,Withdrawn
3338,Limit account nonce to 2^52,"Micah Zoltu, Alex Beregszaszi",Withdrawn
3374,Predictable Proof-of-Work (POW) Sunsetting,Query0x,Withdrawn
3382,Hardcoded Block Gas Limit,Philippe Castonguay,Withdrawn
3779,Safer Control Flow for the EVM,"Greg Colvin, Greg Colvin, Brooklyn Zelenka",Withdrawn
86,Abstraction of transaction origin and signature,Vitalik Buterin,Stagnant
101,Serenity Currency and Crypto Abstraction,Vitalik Buterin,Stagnant
107,"safe ""eth_sendTransaction"" authorization via html popup",Ronan Sandford,Stagnant
205,ENS support for contract ABIs,Nick Johnson,Stagnant
210,Blockhash refactoring,Vitalik Buterin,Stagnant
233,Formal process of hard forks,Alex Beregszaszi,Stagnant
615,Subroutines and Static Jumps for the EVM,"Greg Colvin, Brooklyn Zelenka, Paweł Bylica, Christian Reitwiessner",Stagnant
616,SIMD Operations for the EVM,Greg Colvin,Stagnant
634,Storage of text records in ENS,Richard Moore,Stagnant
665,Add precompiled contract for Ed25519 signature verification,Tobias Oberstein,Stagnant
689,Address Collision of Contract Address Causes Exceptional Halt,Yoichi Hirai,Stagnant
698,OPCODE 0x46 BLOCKREWARD,Cody Burns,Stagnant
725,General key-value store and execution standard,"Fabian Vogelsteller, Tyler Yasaka",Stagnant
