Number,Title,Author,Status
1616,Attribute Registry Standard,"0age, Santiago Palladino, Leo Arias, Alejo Salles, Stephane Gosselin",Stagnant
5791,Physical Backed Tokens,"2pmflow, locationtba, Cameron Robertson, cygaar",Draft
4527,QR Code transmission protocol for wallets,"Aaron Chen, Sora Lee, ligi, Dan Miller, AndreasGassmann, xardass, Lixin Liu",Review
2746,Rules Engine Standard,"Aaron Kendall, Juan Blanco",Stagnant
3041,Adds `baseFee` to `eth_getBlockByHash`,Abdelhamid Bakhta,Stagnant
3044,Adds `baseFee` to `eth_getBlockByNumber`,Abdelhamid Bakhta,Stagnant
3045,Adds `baseFee` to `eth_getUncleByBlockHashAndIndex`,Abdelhamid Bakhta,Stagnant
3046,Adds `baseFee` to `eth_getUncleByBlockNumberAndIndex`,Abdelhamid Bakhta,Stagnant
5988,Add Poseidon hash function precompile,"Abdelhamid Bakhta, Eli Ben Sasson, Avihu Levy, David Levit Gurevich",Draft
3198,BASEFEE opcode,"Abdelhamid Bakhta, Vitalik Buterin",Final
2159,Common Prometheus Metrics Names for Clients,Adrian Sutton,Final
999,Restore Contract Code at 0x863DF6BFa4469f3ead0bE8f9F2AAE51c91A907b4,Afri Schoedon,Withdrawn
3238,Difficulty Bomb Delay to Q2/2022,Afri Schoedon,Stagnant
1234,Constantinople Difficulty Bomb Delay and Block Reward Adjustment,Afri Schoedon,Final
1716,Hardfork Meta: Petersburg,"Afri Schoedon, Marius van der Wijden",Final
649,Metropolis Difficulty Bomb Delay and Block Reward Reduction,"Afri Schoedon, Vitalik Buterin",Final
5719,Signature replacement interface,Agustin Aguilar,Draft
5189,Account Abstraction via Endorsed Operations,"Agustín Aguilar, Philippe Castonguay",Draft
1154,Oracle Interface,Alan Lu,Withdrawn
1178,Multi-class Token Standard,Albert Chon,Stagnant
3234,Batch Flash Loans,"Alberto Cuesta Canada, Fiona Kobayashi, fubuloubu, Austin Williams",Stagnant
3156,Flash Loans,"Alberto Cuesta Canada, Fiona Kobayashi, fubuloubu, Austin Williams",Final
233,Formal process of hard forks,Alex Beregszaszi,Stagnant
1352,Specify restricted address range for precompiles/system contracts,Alex Beregszaszi,Stagnant
1803,Rename opcodes for clarity,Alex Beregszaszi,Stagnant
2014,Extended State Oracle,Alex Beregszaszi,Stagnant
2046,Reduced gas cost for static calls made to precompiles,Alex Beregszaszi,Stagnant
2069,Recommendation for using YAML ABI in ERCs/EIPs,Alex Beregszaszi,Stagnant
2070,Hardfork Meta: Berlin,Alex Beregszaszi,Stagnant
2488,Deprecate the CALLCODE opcode,Alex Beregszaszi,Stagnant
4803,Limit transaction gas to a maximum of 2^63-1,Alex Beregszaszi,Stagnant
663,Unlimited SWAP and DUP instructions,Alex Beregszaszi,Review
141,Designated invalid EVM instruction,Alex Beregszaszi,Final
606,Hardfork Meta: Homestead,Alex Beregszaszi,Final
607,Hardfork Meta: Spurious Dragon,Alex Beregszaszi,Final
608,Hardfork Meta: Tangerine Whistle,Alex Beregszaszi,Final
609,Hardfork Meta: Byzantium,Alex Beregszaszi,Final
2681,Limit account nonce to 2^64-1,Alex Beregszaszi,Final
6046,Replace SELFDESTRUCT with DEACTIVATE,Alex Beregszaszi,Draft
1679,Hardfork Meta: Istanbul,"Alex Beregszaszi, Afri Schoedon",Final
3670,EOF - Code Validation,"Alex Beregszaszi, Andrei Maiboroda, Paweł Bylica",Review
4200,EOF - Static relative jumps,"Alex Beregszaszi, Andrei Maiboroda, Paweł Bylica",Review
3855,PUSH0 instruction,"Alex Beregszaszi, Hugo De la cruz, Paweł Bylica",Review
1380,Reduced gas cost for call to self,"Alex Beregszaszi, Jacques Wagener",Stagnant
140,REVERT instruction,"Alex Beregszaszi, Nikolai Mushegian",Final
5656,Memory copying instruction,"Alex Beregszaszi, Paul Dworzanski, Jared Wasinger, Casey Detrio, Pawel Bylica, Charles Cooper",Draft
1985,Sane limits for certain EVM parameters,"Alex Beregszaszi, Pawel Bylica",Stagnant
145,Bitwise shifting instructions in EVM,"Alex Beregszaszi, Pawel Bylica",Final
3690,EOF - JUMPDEST Table,"Alex Beregszaszi, Pawel Bylica, Andrei Maiboroda",Stagnant
3540,EOF - EVM Object Format v1,"Alex Beregszaszi, Pawel Bylica, Andrei Maiboroda",Review
3541,Reject new contract code starting with the 0xEF byte,"Alex Beregszaszi, Pawel Bylica, Andrei Maiboroda, Alexey Akhunov, Christian Reitwiessner, Martin Swende",Final
2542,New opcodes TXGASLIMIT and CALLGASLIMIT,Alex Forshtat,Stagnant
2770,Meta-Transactions Forwarder Contract,"Alex Forshtat, Dror Tirosh",Stagnant
1706,Disable SSTORE with gasleft lower than call stipend,"Alex Forshtat, Yoav Weiss",Withdrawn
3508,Transaction Data Opcodes,Alex Papageorgiou,Stagnant
3520,Transaction Destination Opcode,Alex Papageorgiou,Stagnant
4863,Beacon chain push withdrawals,"Alex Stokes, Danny Ryan",Stagnant
4895,Beacon chain push withdrawals as operations,"Alex Stokes, Danny Ryan",Review
4788,Beacon state root in the EVM,"Alex Stokes, Danny Ryan",Draft
67,"URI Scheme with Metadata, Value and Bytecode",Alex Van de Sande,Withdrawn
1015,Configurable On Chain Issuance,Alex Van de Sande,Stagnant
1078,Universal login / signup using ENS subdomains,Alex Van de Sande,Stagnant
1077,Gas relay for contract calls,"Alex Van de Sande, Ricardo Guilherme Schmidt",Stagnant
1962,EC arithmetic and pairings with runtime definitions,Alex Vlasov,Stagnant
2539,BLS12-377 curve operations,Alex Vlasov,Stagnant
2666,Repricing of precompiles and Keccak256 function,Alex Vlasov,Stagnant
2537,Precompile for BLS12-381 curve operations,"Alex Vlasov, Kelly Olson",Stagnant
1895,Support for an Elliptic Curve Cycle,Alexandre Belling,Stagnant
2026,State Rent H - Fixed Prepayment for accounts,Alexey Akhunov,Stagnant
2027,State Rent C - Net contract size accounting,Alexey Akhunov,Stagnant
2029,State Rent A - State counters contract,Alexey Akhunov,Stagnant
2031,State Rent B - Net transaction counter,Alexey Akhunov,Stagnant
2035,Stateless Clients - Repricing SLOAD and SSTORE to pay for block proofs,Alexey Akhunov,Stagnant
2028,Transaction data gas cost reduction,"Alexey Akhunov, Eli Ben Sasson, Tom Brand, Louis Guthmann, Avihu Levy",Final
1153,Transient storage opcodes,"Alexey Akhunov, Moody Salem",Last Call
5050,Interactive NFTs with Modular Environments,Alexi,Draft
5604,NFT Lien,"Allen Zhou, Alex Qin, Zainan Victor Zhou",Draft
5008,EIP-721 Nonce Extension,"Anders, Lance, Shrug",Review
5007,"Time NFT, EIP-721 Time Extension","Anders, Lance, Shrug",Last Call
