date,oracle,Active Users
2017-09-16T00:00:00+00:00,Chainlink,8
2017-09-17T00:00:00+00:00,Chainlink,8
2017-09-18T00:00:00+00:00,Chainlink,8
2017-09-19T00:00:00+00:00,Chainlink,8
2017-09-20T00:00:00+00:00,Chainlink,3515
2017-09-21T00:00:00+00:00,Chainlink,4351
2017-09-22T00:00:00+00:00,Chainlink,4575
2017-09-23T00:00:00+00:00,Chainlink,4753
2017-09-24T00:00:00+00:00,Chainlink,4950
2017-09-25T00:00:00+00:00,Chainlink,5123
2017-09-26T00:00:00+00:00,Chainlink,5344
2017-09-27T00:00:00+00:00,Chainlink,5555
2017-09-28T00:00:00+00:00,Chainlink,6248
2017-09-29T00:00:00+00:00,Chainlink,6613
2017-09-30T00:00:00+00:00,Chainlink,7251
2017-10-01T00:00:00+00:00,Chainlink,7531
2017-10-02T00:00:00+00:00,Chainlink,7802
2017-10-03T00:00:00+00:00,Chainlink,8014
2017-10-04T00:00:00+00:00,Chainlink,8262
2017-10-05T00:00:00+00:00,Chainlink,8524
2017-10-06T00:00:00+00:00,Chainlink,8872
2017-10-07T00:00:00+00:00,Chainlink,9152
2017-10-08T00:00:00+00:00,Chainlink,9350
2017-10-09T00:00:00+00:00,Chainlink,9515
2017-10-10T00:00:00+00:00,Chainlink,9703
2017-10-11T00:00:00+00:00,Chainlink,9893
2017-10-12T00:00:00+00:00,Chainlink,10105
2017-10-13T00:00:00+00:00,Chainlink,10199
2017-10-14T00:00:00+00:00,Chainlink,10300
2017-10-15T00:00:00+00:00,Chainlink,10417
2017-10-16T00:00:00+00:00,Chainlink,10613
2017-10-17T00:00:00+00:00,Chainlink,10797
2017-10-18T00:00:00+00:00,Chainlink,10965
2017-10-19T00:00:00+00:00,Chainlink,11157
2017-10-20T00:00:00+00:00,Chainlink,11347
2017-10-21T00:00:00+00:00,Chainlink,11484
2017-10-22T00:00:00+00:00,Chainlink,11618
2017-10-23T00:00:00+00:00,Chainlink,11839
2017-10-24T00:00:00+00:00,Chainlink,12133
2017-10-25T00:00:00+00:00,Chainlink,12228
2017-10-26T00:00:00+00:00,Chainlink,12315
2017-10-27T00:00:00+00:00,Chainlink,12408
2017-10-28T00:00:00+00:00,Chainlink,12462
2017-10-29T00:00:00+00:00,Chainlink,12529
2017-10-30T00:00:00+00:00,Chainlink,12601
2017-10-31T00:00:00+00:00,Chainlink,12666
2017-11-01T00:00:00+00:00,Chainlink,12723
2017-11-02T00:00:00+00:00,Chainlink,12803
2017-11-03T00:00:00+00:00,Chainlink,12875
2017-11-04T00:00:00+00:00,Chainlink,12937
2017-11-05T00:00:00+00:00,Chainlink,12992
2017-11-06T00:00:00+00:00,Chainlink,13044
2017-11-07T00:00:00+00:00,Chainlink,13102
2017-11-08T00:00:00+00:00,Chainlink,13202
2017-11-09T00:00:00+00:00,Chainlink,13311
2017-11-10T00:00:00+00:00,Chainlink,13362
2017-11-11T00:00:00+00:00,Chainlink,13447
2017-11-12T00:00:00+00:00,Chainlink,13527
2017-11-13T00:00:00+00:00,Chainlink,13604
2017-11-14T00:00:00+00:00,Chainlink,13676
2017-11-15T00:00:00+00:00,Chainlink,13730
2017-11-16T00:00:00+00:00,Chainlink,13812
2017-11-17T00:00:00+00:00,Chainlink,13879
2017-11-18T00:00:00+00:00,Chainlink,13956
2017-11-19T00:00:00+00:00,Chainlink,14042
2017-11-20T00:00:00+00:00,Chainlink,14079
2017-11-21T00:00:00+00:00,Chainlink,14159
2017-11-22T00:00:00+00:00,Chainlink,14217
2017-11-23T00:00:00+00:00,Chainlink,14295
2017-11-24T00:00:00+00:00,Chainlink,14368
2017-11-25T00:00:00+00:00,Chainlink,14418
2017-11-26T00:00:00+00:00,Chainlink,14505
2017-11-27T00:00:00+00:00,Chainlink,14563
2017-11-28T00:00:00+00:00,Chainlink,14617
2017-11-29T00:00:00+00:00,Chainlink,14652
2017-11-30T00:00:00+00:00,Chainlink,14711
2017-12-01T00:00:00+00:00,Chainlink,14764
2017-12-02T00:00:00+00:00,Chainlink,14835
2017-12-03T00:00:00+00:00,Chainlink,14676
2017-12-04T00:00:00+00:00,Chainlink,14781
2017-12-05T00:00:00+00:00,Chainlink,14842
2017-12-06T00:00:00+00:00,Chainlink,14940
2017-12-07T00:00:00+00:00,Chainlink,15063
2017-12-08T00:00:00+00:00,Chainlink,13601
2017-12-09T00:00:00+00:00,Chainlink,11560
2017-12-10T00:00:00+00:00,Chainlink,11551
2017-12-11T00:00:00+00:00,Chainlink,11595
2017-12-12T00:00:00+00:00,Chainlink,11634
2017-12-13T00:00:00+00:00,Chainlink,11697
2017-12-14T00:00:00+00:00,Chainlink,11822
2017-12-15T00:00:00+00:00,Chainlink,11906
2017-12-16T00:00:00+00:00,Chainlink,12036
2017-12-17T00:00:00+00:00,Chainlink,12132
2017-12-18T00:00:00+00:00,Chainlink,12248
2017-12-19T00:00:00+00:00,Chainlink,12338
2017-12-20T00:00:00+00:00,Chainlink,12426
2017-12-21T00:00:00+00:00,Chainlink,12579
2017-12-22T00:00:00+00:00,Chainlink,12661
2017-12-23T00:00:00+00:00,Chainlink,12838
2017-12-24T00:00:00+00:00,Chainlink,12993
2017-12-25T00:00:00+00:00,Chainlink,13092
2017-12-26T00:00:00+00:00,Chainlink,13197
2017-12-27T00:00:00+00:00,Chainlink,13313
2017-12-28T00:00:00+00:00,Chainlink,13440
2017-12-29T00:00:00+00:00,Chainlink,13538
2017-12-30T00:00:00+00:00,Chainlink,13661
2017-12-31T00:00:00+00:00,Chainlink,13790
2018-01-01T00:00:00+00:00,Chainlink,13945
2018-01-02T00:00:00+00:00,Chainlink,14131
2018-01-03T00:00:00+00:00,Chainlink,14282
2018-01-04T00:00:00+00:00,Chainlink,14576
2018-01-05T00:00:00+00:00,Chainlink,14814
2018-01-06T00:00:00+00:00,Chainlink,15097
2018-01-07T00:00:00+00:00,Chainlink,15395
2018-01-08T00:00:00+00:00,Chainlink,15686
2018-01-09T00:00:00+00:00,Chainlink,15970
2018-01-10T00:00:00+00:00,Chainlink,16149
2018-01-11T00:00:00+00:00,Chainlink,16301
2018-01-12T00:00:00+00:00,Chainlink,16410
2018-01-13T00:00:00+00:00,Chainlink,16569
2018-01-14T00:00:00+00:00,Chainlink,16752
2018-01-15T00:00:00+00:00,Chainlink,16876
2018-01-16T00:00:00+00:00,Chainlink,16977
