Protocol,Total
29/06/2018,20541.94079
30/06/2018,20614.45827
1/7/2018,20597.00738
2/7/2018,20522.01392
3/7/2018,20549.85943
4/7/2018,20568.29213
5/7/2018,20626.64528
6/7/2018,20617.72841
7/7/2018,20734.87674
8/7/2018,20819.21976
9/7/2018,20649.34211
10/7/2018,20663.2022
11/7/2018,20729.03069
12/7/2018,22391.76347
13/07/2018,20728.51559
14/07/2018,21768.45762
15/07/2018,23295.55779
16/07/2018,22878.56903
17/07/2018,24409.13338
18/07/2018,23619.35471
19/07/2018,21974.11497
20/07/2018,23290.86946
21/07/2018,22465.07587
22/07/2018,25299.70959
23/07/2018,24389.61612
24/07/2018,27299.52416
25/07/2018,20543.09046
26/07/2018,20493.57645
27/07/2018,20501.43345
28/07/2018,20534.05949
29/07/2018,20533.85885
30/07/2018,20492.84252
31/07/2018,20472.11748
1/8/2018,20500.41465
2/8/2018,20544.645
3/8/2018,20507.2642
4/8/2018,20522.5491
5/8/2018,20538.56183
6/8/2018,19324.9919
7/8/2018,21977.27555
8/8/2018,20167.51543
9/8/2018,22961.87951
10/8/2018,20548.73238
11/8/2018,20134.03518
12/8/2018,20278.65766
13/08/2018,20025.40872
14/08/2018,20327.76669
15/08/2018,20561.35988
16/08/2018,26016.39507
17/08/2018,28806.61253
18/08/2018,28434.77074
19/08/2018,28164.09475
20/08/2018,28275.44994
21/08/2018,27882.98466
22/08/2018,27819.47889
23/08/2018,27690.12378
24/08/2018,25987.84578
25/08/2018,28197.21208
26/08/2018,28011.55778
27/08/2018,27982.37538
28/08/2018,27884.51893
29/08/2018,28520.14453
30/08/2018,28493.01526
31/08/2018,28252.72123
1/9/2018,27733.00365
2/9/2018,27808.30042
3/9/2018,28343.10699
4/9/2018,28325.47536
5/9/2018,27765.04695
6/9/2018,25816.19589
7/9/2018,25522.95738
8/9/2018,25191.5961
9/9/2018,24625.50181
10/9/2018,24426.59897
11/9/2018,24360.38377
12/9/2018,23094.70467
13/09/2018,23100.9738
14/09/2018,24978.54632
15/09/2018,24237.96787
16/09/2018,26320.53718
17/09/2018,26781.66548
18/09/2018,25640.7226
19/09/2018,25650.88974
20/09/2018,26215.88658
21/09/2018,28853.83974
22/09/2018,29560.85285
23/09/2018,26676.49925
24/09/2018,29532.36829
25/09/2018,28804.66005
26/09/2018,28046.6475
27/09/2018,27987.84473
28/09/2018,28692.10022
29/09/2018,28701.89659
30/09/2018,26446.28028
1/10/2018,26431.19888
2/10/2018,28767.92122
3/10/2018,29373.80575
4/10/2018,27910.2406
5/10/2018,192011.3468
6/10/2018,191132.7398
7/10/2018,191606.1942
8/10/2018,191891.2049
9/10/2018,191741.0913
10/10/2018,191300.181
11/10/2018,191165.8815
12/10/2018,191243.7467
13/10/2018,191893.5502
14/10/2018,192234.2711
15/10/2018,193699.6558
16/10/2018,196496.6579
17/10/2018,196422.2353
18/10/2018,196243.9439
19/10/2018,193463.4293
20/10/2018,193242.818
21/10/2018,196383.0848
22/10/2018,195202.8427
23/10/2018,193146.39
24/10/2018,191869.7812
25/10/2018,191956.8284
26/10/2018,191823.8249
27/10/2018,192784.0735
28/10/2018,190767.7986
29/10/2018,191645.7741
30/10/2018,189336.7858
31/10/2018,192432.5406
1/11/2018,191890.3658
2/11/2018,193695.3116
3/11/2018,230042.5421
4/11/2018,235512.742
5/11/2018,231682.0528
6/11/2018,236624.0519
7/11/2018,348748.6916
8/11/2018,376570.7767
9/11/2018,370811.2027
10/11/2018,368540.8436
11/11/2018,383537.4206
12/11/2018,397505.8083
13/11/2018,398854.4516
14/11/2018,395190.0977
15/11/2018,396812.4458
16/11/2018,396350.5946
17/11/2018,398586.8692
18/11/2018,394827.3961
19/11/2018,395600.3166
20/11/2018,395080.3966
21/11/2018,366442.3749
22/11/2018,377009.7573
23/11/2018,379229.5333
24/11/2018,365788.0264
25/11/2018,350354.8034
26/11/2018,352978.0975
27/11/2018,363948.5893
28/11/2018,363574.1438
29/11/2018,392611.2345
30/11/2018,391172.3775
1/12/2018,384045.6232
2/12/2018,396904.7665
3/12/2018,397528.2855
4/12/2018,400697.3274
5/12/2018,411047.3058
6/12/2018,393086.1383
