evt_date,maker,aave,dydx,compound,uniswap,curve,treasury,other,sushiswap,balancer,bridge,bancor,total
2020-09-16 00:00,,61957313.736676,,93548509.136172,159706353.659818,38070473.088237,3517527.010509,1486732.325792,59699084.280563,,2776.602112,,
2020-09-17 00:00,,66484196.344814,,97544797.722791,201687543.587793,28606023.342905,3517527.010509,1506860.419513,52643515.479562,,2776.602112,,
2020-09-18 00:00,,51384012.218651,,102222124.125003,258247489.611675,28086381.612417,3517527.010509,1583425.856507,37355451.203668,,3076.602112,,
2020-09-19 00:00,,58544223.543699,,109163233.177173,282569401.69923,34178137.181782,3517527.010509,695208.671197,39839859.915161,,3791.486112,,
2020-09-20 00:00,,58676206.627008,,129885129.759366,280434279.934908,34545336.953137,3517527.010509,2274431.876573,38385239.266338,,5826.670112,,
2020-09-21 00:00,,79997010.427463,,128212222.762085,258218539.889537,39354490.433389,3517527.010509,3449400.053452,37303344.446528,,8341.464112,,
2020-09-22 00:00,,81530198.129856,,126966883.063154,265804831.399145,64101884.157985,3517527.010509,3686270.013038,38944574.293725,,8645.846112,,
2020-09-23 00:00,,133384450.83477,,125943131.895299,261407716.453918,82652997.130793,3917527.010509,4867630.653795,35404575.464486,,8862.021112,,
2020-09-24 00:00,,126632678.27719,,128998963.993576,279536334.316681,80755456.43761,3917527.010509,449295.473531,35308301.204986,,14520.470181,,
2020-09-25 00:00,,107660810.771439,,137069061.701622,283064642.866811,73897447.742809,3917527.010509,359086.505694,35304589.184642,,15620.851417,,
2020-09-26 00:00,,147069220.207535,,135812551.264544,284463615.852475,82660246.763994,3917527.010509,343068.283801,34585579.415723,,15920.851417,,
2020-09-27 00:00,,214673304.69308,,123496995.586977,288061937.798257,75892215.464895,3917527.010509,343069.001101,29956430.49515,,16193.983081,,
2020-09-28 00:00,,161417956.42679,,123154935.44198,290798981.265663,62444741.900015,3917527.010509,343068.283801,31344809.969402,,44440.928081,,
2020-09-29 00:00,,171162691.111614,,123799531.839157,293660226.315816,59568126.255345,3917536.510509,417295.47008,31863652.920794,,46036.312081,,
2020-09-30 00:00,,142548769.75479,,123905747.73561,305678532.475808,56484565.143504,3917536.510509,634811.536489,24413982.389806,,2693469.163094,,
2020-10-01 00:00,,120694984.191977,,140806163.678601,325877495.676075,53793385.288499,3917536.510509,946256.947671,14558187.051672,,4565673.074058,,
2020-10-02 00:00,,107163027.994376,,134810882.512196,316896267.80043,51048349.876787,3917536.510509,665150.863403,23135394.389685,,4496845.848752,,
2020-10-03 00:00,,99966980.398952,,138209648.727787,326176489.850479,48963938.8192,3917536.510509,1787039.71859,22656303.98128,,2705729.788721,,
2020-10-04 00:00,,109444019.700072,,132438634.421029,330810726.494586,45605738.192262,3917536.510509,3956553.330269,22294143.874303,,2829389.748003,,
2020-10-05 00:00,,121763044.514558,,132332081.966922,343590960.222323,39810749.982781,3917536.510509,4468437.243033,17062702.805275,,1261058.503764,,
2020-10-06 00:00,,128030848.975173,,140190264.268734,340807768.867662,38195524.407555,3917536.510509,5276031.206841,16745993.609913,,2561221.576917,,
2020-10-07 00:00,,114095518.802184,,138104214.864048,339443233.621205,38402931.393823,3917536.510509,5467693.7401,16348608.43299,,3878966.854758,,
