evt_date,Curve,Bridge,Aave,Compound,Treasury,Other,Uniswap,Balancer,Sushiswap,Bancor,Yearn
2020-09-16 00:00,44292674.658507,897117.196811,145938401.996788,4655802.607309,,,109049368.008699,,57290068.108778,,26044064.227596
2020-09-17 00:00,72400719.229134,897117.196725,114076627.632353,7662696.775647,,,147509962.052498,,45219826.148785,,21552767.375031
2020-09-18 00:00,97654581.670588,897117.196725,113070732.725507,11763735.190091,,,213410088.545311,,28844724.45474,,25023673.556354
2020-09-19 00:00,130979331.924055,897127.425725,113635489.318522,11756659.260614,,,243218931.785734,,30898473.291414,,124056791.203919
2020-09-20 00:00,150390878.257182,820614.966735,121251588.693198,10934162.637906,,,245091980.169931,,38987461.004418,,115129774.275105
2020-09-21 00:00,139606019.057669,830527.355783,124802511.572161,13076129.906938,,,222668762.611911,,30595290.31706,,120492970.251837
2020-09-22 00:00,172863204.844786,830527.355783,125340962.910421,10789901.840478,,,224471079.004204,,34505633.035722,,101554207.19622
2020-09-23 00:00,193871954.135117,999825.274005,201270815.103217,11207614.18824,,,221978519.088785,,31777137.790727,,0
2020-09-24 00:00,200506162.715165,737900.525069,196485417.483355,20854036.796614,,,233446262.239378,,32760996.689152,,4795258.833981
2020-09-25 00:00,187712406.04352,899816.743598,184948008.815274,75985895.105571,,,233291522.756154,,27338337.734769,,7927383.376972
2020-09-26 00:00,211116970.160032,899672.560598,162906232.920888,69365366.646634,,,228573419.772913,,28041674.575396,,2745421.392776
2020-09-27 00:00,192729676.654418,910155.775837,134065005.456313,148408592.535182,,,228478051.579627,,23970767.96682,,787976.291838
2020-09-28 00:00,175338360.281961,1367236.304372,223470181.608554,90519485.830296,,,253459309.707817,,24867591.992087,,3549882.889749
2020-09-29 00:00,171407650.104576,1356611.433527,231536392.045405,95957988.763532,,,257134808.543461,,25723850.145112,,11174105.810018
2020-09-30 00:00,170881535.687326,4486944.293633,210064969.390163,84197511.375285,,,269490713.222261,,21691692.930955,,21793360.904261
2020-10-01 00:00,179915950.674588,4043209.278095,206030875.164417,70412906.338285,,,269957174.851745,,23940477.726646,,46597674.507709
2020-10-02 00:00,178882549.428344,5998510.699414,200182679.32173,63952864.882253,,,263879270.370684,,22719356.38404,,48366482.683015
