id,name,n_eip,between,close,eigen
714,Phillip Pon,1,0.0,0.019943019943019943,2.350714665418886e-06
8,Alex Van de Sande,6,0.005684646465711809,0.11326821326821326,0.0038435992447765055
62,Alexey Akhunov,8,0.005422651281089915,0.10233547887868874,0.0688617482544489
117,Lee Raj,1,0.0,0.0014245014245014246,4.1696267066357257e-22
165,Sam Wilson,6,0.006533312347674546,0.11340909413048715,0.015761698429083388
10,Nick Johnson,28,0.028707516924601956,0.12611467729033426,0.032017660204812885
9,Ronan Sandford,7,0.005252288751458992,0.10752466000107509,0.0007172478525353008
70,Juliano Rizzo,1,0.0,0.0,1.5905863596480277e-27
661,Gavin John,21,0.033328083730632216,0.12157454890788223,0.0018687541521939782
106,Gabriel Barros,1,0.0,0.0014245014245014246,4.1696267066357257e-22
287,Apeguru,1,0.0,0.004273504273504274,1.0930426233843157e-16
63,Alan Lu,1,0.0,0.0,1.5905863596480277e-27
95,Ikmyeong Na,1,0.0,0.0,1.5905863596480277e-27
1,Vitalik Buterin,45,0.03329388861476894,0.13100705701280413,0.07330964165719352
286,Naim Ashhab,1,0.0,0.0,1.5905863596480277e-27
183,Yu Liu,2,2.0320990363786367e-05,0.008547008547008548,1.8882011023111453e-13
182,Daniel Streit,1,0.0,0.0,1.5905863596480277e-27
6,Felix Lange,7,0.0011645041196841441,0.09323201603365201,0.007776548901274757
677,Tal Be'ery,1,0.0,0.0014245014245014246,4.1696267066357257e-22
657,Adam Egyed,1,0.0,0.0014245014245014246,4.1696267066357257e-22
148,Joel Thorstensson,1,0.0,0.0,1.5905863596480277e-27
174,Michael D. Carter,1,0.0,0.0,1.5905863596480277e-27
99,Paul Berg,1,0.0,0.0,1.5905863596480277e-27
52,Tommy Nicholas,1,0.0,0.09210193099081987,7.56964559756769e-05
385,Alex,3,8.128396145514547e-05,0.011396011396011397,2.4250695308310203e-14
118,Julio Faura,5,0.0,0.002849002849002849,8.843528639611655e-09
20,Greg Colvin,8,0.0016719519973880507,0.09793868064544756,0.03774260553069585
233,Harikrishnan Mulackal,1,1.1327649500223476e-05,0.0937111116967232,0.04188388273305481
224,Andreas Freund,1,0.0,0.0,1.5905863596480277e-27
13,Gavin Wood,1,0.0,0.0,1.5905863596480277e-27
43,Dean Eigenmann,2,0.002054588988132631,0.09597990703253861,0.001152139471085056
19,Micah Zoltu,16,0.004319808825084144,0.11903513274270452,0.03004011750484759
234,Lance,5,0.0,0.061195242738866895,6.083249693216012e-07
115,Alex Vlasov,4,0.0,0.06675030137694851,3.4775362081891215e-05
84,Vittorio Minacori,1,0.0,0.0,1.5905863596480277e-27
50,Danny Ryan,11,0.005655335886121309,0.10142481833249353,0.008161565630847918
83,Pawel Bylica,21,0.009330394100606432,0.12045034568152135,0.583722211154235
11,Alex Beregszaszi,41,0.013291592907700779,0.11585884584613937,0.5821268628656702
113,Michael Connor,3,1.6256792291029094e-05,0.005698005698005698,1.610927463718418e-14
23,Afri Schoedon,6,0.0029811306278688487,0.10326264063523406,0.024645129193168153
114,Johann Barbie,1,0.0,0.002849002849002849,6.162257452515688e-19
587,Zergity,1,0.0,0.004273504273504274,1.0930426233843157e-16
110,Charles Cooper,3,0.0011103309094831451,0.09419515669515668,0.04781809816475911
226,Marius Van Der Wijden,7,0.005203208063269318,0.09731153861356637,0.030544809671222906
221,Andrew B Coathup,1,0.0,0.007597340930674264,1.8696440841280708e-14
184,Alex Papageorgiou,2,0.0,0.0,1.5905863596480277e-27
635,Erhard Dinhobl,1,0.0,0.0014245014245014246,4.1696267066357257e-22
180,Nathan Ginnever,1,0.0,0.0,1.5905863596480277e-27
173,Justice Hudson,2,0.0,0.0,1.5905863596480277e-27
51,Nick Savers,1,0.0,0.0,1.5905863596480277e-27
17,Piper Merriam,6,0.006001064845616368,0.09390413149424476,0.006120595029585448
134,Kristijan Sedlak,1,0.0,0.08403770661835178,5.9927951510490154e-05
120,Pedro Gomes,6,0.02022248780492646,0.1079064043561085,0.0005365286554736677
222,Omnus Sunmo,1,0.0,0.0,1.5905863596480277e-27
211,David Kim,1,0.0,0.0,1.5905863596480277e-27
16,Nick Mudge,5,0.0014971144877139987,0.09200899261444165,0.0009401314658999133
41,Dave Sag,1,0.0,0.0,1.5905863596480277e-27
56,Mark Beylin,1,0.0,0.08026488704305605,0.00021707017807756504
137,Filip tamcar,1,0.0,0.0,1.5905863596480277e-27
78,Wei Tang,4,0.0,0.08642740443688311,0.00014268877983844122
163,Abdelhamid Bakhta,7,0.0013726281258291007,0.09783359622415415,0.005969323129862092
604,Paul Sullivan,2,1.2192594218271821e-05,0.015194681861348529,1.6437017471787154e-10
91,Kaidong Wu,1,0.0,0.005698005698005698,6.067605436889753e-15
198,Wayne Chang,2,0.005039605610219019,0.0946842281214036,0.0012487920558994356
90,Iamnot Chris,1,0.0,0.0,1.5905863596480277e-27
230,Tim Daubenschütz,3,0.004047941280466244,0.09173129947777835,6.731811863178519e-05
31,Dan Finlay,6,0.0020309854608434996,0.10326264063523406,0.0008717109996259419
2,Martin Holst Swende,16,0.009745243339919378,0.12239048547773379,0.1831103785000632
121,Fernando Paris,5,0.0,0.002849002849002849,8.843528639611655e-09
142,Guillaume Ballet,6,0.0,0.097207794968989,0.01661838295833755
290,Kosala Hemachandra,2,0.0,0.09200899261444165,0.0002054439368899183
27,Isaac Ardis,2,0.0,0.08642740443688311,0.00014268877983844122
247,Yale ReiSoleil,1,0.0,0.004273504273504274,1.0930426233843157e-16
685,Qi Zhou,8,0.010664332253269628,0.10361467236467235,0.0006602814339857538
126,Sean Papanikolas,2,0.0,0.0,1.5905863596480277e-27
143,Kohshi Shiba,1,0.0,0.0,1.5905863596480277e-27
235,Green,1,0.0,0.0,1.5905863596480277e-27
284,foobar,1,0.0,0.013024013024013023,4.267539693982078e-11
271,Paul Gauvreau,1,0.0,0.09351888377529402,0.001150299032149572
248,Christophe Le Bars,1,0.0,0.0,1.5905863596480277e-27
77,EOS Classic,1,0.0,0.0,1.5905863596480277e-27
264,elie222,1,0.0,0.09099891385320527,6.722079495262397e-05
154,Nick Gheorghita,4,0.0009452024431062992,0.09342306524683573,0.006082696802189246
653,Artem Chystiakov,1,0.0,0.0,1.5905863596480277e-27
44,Brooklyn Zelenka,6,0.003261143080284865,0.09793868064544756,0.03726258810188575
227,Víctor Muñoz,2,2.0320990363786367e-06,0.004273504273504274,3.5923620977721103e-16
87,Gerhard Wagner,1,0.0,0.0,1.5905863596480277e-27
282,HonorLabs,1,0.0,0.0,1.5905863596480277e-27
71,Zainan Victor Zhou,18,0.01595106063724419,0.11571181685394882,0.02253641365079964
18,Péter Szilágyi,8,0.0,0.07486117543588808,0.0006839198182245697
4,Christian Reitwiessner,8,0.015608737981020459,0.11750117484653566,0.09724878214232326
187,Gajinder Singh,1,0.0,0.07455511993533252,0.00021993930377922977
269,Roy Osherove,1,0.0,0.0,1.5905863596480277e-27
292,Bruno kvorc,5,2.0320990363786367e-06,0.007326007326007326,9.281233286249681e-05
606,Otniel Nicola,2,0.0,0.0014245014245014246,6.162257452515688e-19
153,William Morriss,7,0.0,0.0014245014245014246,4.1696267066357257e-22
252,James Grimmelmann,1,0.0,0.002849002849002849,6.162257452515688e-19
36,Jordi Baylina,6,0.004093771115848131,0.10639546287154221,0.0015851967740198093
686,qdqd,1,0.0,0.0,1.5905863596480277e-27
196,Tim Beiko,4,0.0004344445371915281,0.07117947828330341,0.00015490715999171324
633,5660-eth,2,0.0,0.005698005698005698,3.1784295003481074e-14
108,Gregory Markou,5,0.0056212059552825325,0.09857395857395856,0.0004104162480708574
206,Ross Campbell,1,0.0,0.0,1.5905863596480277e-27
