EIP,Title,Website
7069,EIP-7069: Revamped CALL instructions,https://ethereum-magicians.org/t/eip-7069-revamped-call-instructions/14432
7053,EIP-7053: Interoperable Digital Media Indexing,https://ethereum-magicians.org/t/eip-7053-interoperable-digital-media-indexing/14394
7045,EIP-7045: Increase max attestation inclusion slot,https://ethereum-magicians.org/t/eip-7045-increase-max-attestation-inclusion-slot/14342
7007,"EIP-7007: zkML AIGC-NFTs, an ERC-721 extension interface for zkML based AIGC-NFTs",https://ethereum-magicians.org/t/eip-7007-zkml-aigc-nfts-an-erc-721-extension-interface-for-zkml-based-aigc-nfts/14216
6988,EIP-6988: Elected block proposer has not been slashed,https://ethereum-magicians.org/t/eip-6988-elected-block-proposer-has-not-been-slashed/14349
6982,ERC-6982: Default Lockable Proposal,https://ethereum-magicians.org/t/erc-6982-default-lockable-proposal/13366
6981,ERC-6981: Reserved Ownership Accounts,https://ethereum-magicians.org/t/erc-6981-reserved-ownership-accounts/14118
6968,EIP-6968: Generalized CSR Protocol,https://ethereum-magicians.org/t/eip-6968-generalized-csr-protocol/14178
6963,EIP-6963: Multi Injected Provider Discovery,https://ethereum-magicians.org/t/eip-6963-multi-injected-provider-discovery/14076
6960,EIP-6960: - Dual Layer Token,https://ethereum-magicians.org/t/eip-6960-dual-layer-token/14070
6956,ERC-6956: Asset-Bound Non-Fungible Tokens,https://ethereum-magicians.org/t/erc-6956-asset-bound-non-fungible-tokens/14056
6953,EIP-6953: Network Upgrade Activation Triggers,https://ethereum-magicians.org/t/eip-6953-network-upgrade-activation-triggers/14047
6913,EIP-6913: SETCODE instruction,https://ethereum-magicians.org/t/eip-6913-setcode-instruction/13898
6909,Eip-6909-multi-token-standard,https://ethereum-magicians.org/t/eip-6909-multi-token-standard/13891
6900,ERC-6900: Modular Smart Contract Accounts and Plugins,https://ethereum-magicians.org/t/erc-6900-modular-smart-contract-accounts-and-plugins/13885
6888,EIP-6888: Address Linkage with Single Nonce,https://ethereum-magicians.org/t/eip-6888-address-linkage-with-single-nonce/13835
6865,EIP-6865: on-chain EIP-712 Visualization,https://ethereum-magicians.org/t/eip-6865-on-chain-eip-712-visualization/13800
6823,EIP-6823: Token Mapping Slot Retrieval Extension,https://ethereum-magicians.org/t/eip-6823-token-mapping-slot-retrieval-extension/13666
6821,EIP-6821: Support ENS Name for Web3 URL,https://ethereum-magicians.org/t/eip-6821-support-ens-name-for-web3-url/13654
6810,EIP-6810: Ex Post Facto Cascading Revert,https://ethereum-magicians.org/t/eip-6810-ex-post-facto-cascading-revert/13630
6809,ERC-6809 Draft: Non-Fungible Key Bound Token (NFKBT),https://ethereum-magicians.org/t/erc-6809-draft-non-fungible-key-bound-token-nfkbt/13625
6808,ERC-6808 Draft: Fungible Key Bound Token (FKBT),https://ethereum-magicians.org/t/erc-6808-draft-fungible-key-bound-token-fkbt/13624
6789,EIP-6789: Rename `gas` to `mana`,https://ethereum-magicians.org/t/eip-6789-rename-gas-to-mana/13570
6786,EIP-6786: Royalty Debt Registry,https://ethereum-magicians.org/t/eip-6786-royalty-debt-registry/13569
6785,EIP-6785: ERC-721 Utilities extension,https://ethereum-magicians.org/t/eip-6785-erc-721-utilities-extension/13568
6780,"EIP-6780: Deactivate SELFDESTRUCT, except where it occurs in the same transaction in which a contract was created",https://ethereum-magicians.org/t/eip-6780-deactivate-selfdestruct-except-where-it-occurs-in-the-same-transaction-in-which-a-contract-was-created/13539
6672,EIP-6672: Multi-redeemable NFTs,https://ethereum-magicians.org/t/eip-6672-multi-redeemable-nfts/13276
6662,EIP-6662: AA Account Metadata for Authentication,https://ethereum-magicians.org/t/eip-6662-aa-account-metadata-for-authentication/13232
