,Original_Name,Replace_Name
0,Hadrien Croubois,Artur Troian
1,g11tech,Francisco de Borja Aranda Castillejo
2,donBarbos,Vitalik Buterin
3,Micah Zoltu,Afri Schoeden
4,Matt Galligan,/raw PONG _GHMoaCXLT
5,Dmitriy Fishman,Nye Liu
6,Yoichi Hirai,nobody
7,vub,Raghav Sood
8,Andrew Miller,Peter Davies
9,Afri Schoedon,Raw Pong Ghmoa
10,Leo Arias,JoeG
11,Little Sheep,Ceyhun Onur
12,gary rong,Alexey Shekhirin
13,WTRMQDev,Mario Vega
14,ifdefelse,Changhoon Lee
15,PhyrexTsai,Alexey Akhunov
16,Jacques Dafflon,Kenneth Cochran
17,Lanre Ige,s7v7nislands
18,misrab,Ian Norden
19,bradleat,Charles Cooper
20,Mark Beylin,Mauricio Perdomo
21,Paul Bouchon,Alex Cabrera
22,Antonio Salazar Cardozo,Sina Mahmoodi
23,g. nicholas d'andrea,Gísli Kristjánsson
24,Nitika Goel,failfmi
25,Watson Ladd,Omer Korner
26,cha0sg0d,Nick Paterno
27,Changhoon Lee,Giulio Rebuffo
28,Sebastian C. Bürgel,Reimdal
29,Witek,Havard Anda Estensen
30,Andrew Cooke,Ivan Bogatyy
31,Junseok Lee,Maxim Andreev
32,The Officious BokkyPooBah,Diego Lopez Leon
33,Nate Welch,Jonathan Chappelow
34,achon22,Sheldon
35,Simon Jentzsch,Vijay Michalik
36,marianasoff,William Setzer
37,Ilan,Nate Armstrong
38,Bogdan Gusiev,Hubert Banaszewski
39,Enrique Ortiz,lazaridiscom
40,Patricio Palladino,laughship
41,jeffishjeff,emile
42,Lucas Cullen,John Chase
43,Chaitanya Potti,Runchao Han
44,flanagansteve,Frojdi Dymylja
45,Ivo Georgiev,Sorin Neacsu
46,EOS Classic,sam bacha
47,Lefteris Karapetsas,Dan Sosedoff
48,Ayrat Badykov,Tangui Clairet
49,benk10,Pascal Dierich
50,c-g-e-w-e-k-e-,Katarzyna Turbiarz
51,Nielsen,Noel Maersk
52,James Sangalli,George Tebrean
53,Angel Leon,z89
54,frenchkebab,cui
55,winsvega,Ilan Gitter
56,Hudson Jameson,alvaroahp11
57,triggering-event,delihiros
58,Maxim,George Patterson
59,Shoaib Ahmed,HackyMiner
60,Zhihao Chen,Artem Vorotnikov
61,hjlee9182,Exca-DK
62,Maurelian,alexwang
63,Noah Zinsmeister,Kevin Ingersoll
64,Trustfarm-heart,Gustav Simonsson
65,Frank.R.Wu,Andrea Lanfranchi
66,Erik van Rijn,Ricardo Catalinas Jiménez
67,ethosdev,Joshua Gutow
68,Jochem Brouwer,Jochen Müller
69,Ratan (Rai) Sur,Jared Doro
70,Mister-Meeseeks,dm4
71,Bas Nijholt,Nicholas
72,Andrew Parker,jack meng
73,Suriyaa Sundararuban,Stephen Guo
74,Andrea Lanfranchi,naviechan
75,pldespaigne,henopied
76,Dean Eigenmann,Christoph Jentzsch
77,Ikmyeong Na,Aleksey @soar Smyrnov
78,Cyril Lapinte,Arvid Hast
79,Alex Forshtat,Donn Trenton
