Issue,Result
Unique Attendees,378
Unique Authors,698
Unique Eip Contributors,570
Unique Client Contributors,1337
Authors who Attended Meetings,74
Contributors who Attended Meetings,60
Clients who Attended Meetings,59
Authors who are also Contributors,235
Authors who are also Clients,61
Client who are also Contributors,94
Authors who are Clients and also attended meetings,21
Authors who are Contributors and also attended meetings,44
Authors who are Clients and Contributors,46
Contributors who are Clients and also attended meetings,25
People who did everything,16
