,Full_Name
0,Vitalik Buterin
1,Martin Holst Swende
2,Joseph Chow
3,Christian Reitwiessner
4,Hudson Jameson
5,Felix Lange
6,Fabian Vogelsteller
7,Alex Van de Sande
8,Ronan Sandford
9,Nick Johnson
10,Alex Beregszaszi
11,Tjaden Hess
12,Gavin Wood
13,Maurelian
14,Nick Mudge
15,Piper Merriam
16,Peter Szilagyi
17,Micah Zoltu
18,Greg Colvin
19,Vlad Gluhovsky
20,Richard Moore
21,Afri Schoedon
22,Tobias Oberstein
23,Daniel A. Nagy
24,Yoichi Hirai
25,Isaac Ardis
26,Cody Burns
27,Remco Bloemen
28,William Entriken
29,Dan Finlay
30,Jack Peterson
31,Jacques Dafflon
32,Casey Detrio
33,ligi
34,Jordi Baylina
35,Kashish Khullar
36,Carl Larson
37,Dan Phifer
38,Weiwu Zhang
39,Dave Sag
40,Jorge Izquierdo
41,Dean Eigenmann
42,Brooklyn Zelenka
43,James Ray
44,Jay Logelin
45,David Stanfill
46,Matt Lockyer
47,Anderson Wesley
48,Danny Ryan
49,Nick Savers
50,Tommy Nicholas
51,Pelle Braendgaard
52,Phyrex Tsai
53,Bradley Leatherwood
54,Mark Beylin
55,Paul Bouchon
56,Antonio Salazar Cardozo
57,g. nicholas d'andrea
58,Jan Turk
59,nitika-goel
60,Alexey Akhunov
61,Alan Lu
62,Witek Radomski
63,Peter Murray
64,Jet Lim
65,Albert Chon
66,Jim McDonald
67,Simon Jentzsch
68,Juliano Rizzo
69,Zainan Victor Zhou
70,Jeff Huang
71,Xiaoyu Wang
72,SmeargleUsedFly
73,Chaitanya Potti
74,Francisco Giordano
75,EOS Classic
76,Wei Tang
77,Ben Kaufman
78,Brian Venturo
79,Kevin Owocki
80,Richard Meissner
81,Pawel Bylica
82,Vittorio Minacori
83,John Shiple
84,Maxim Kupriianov
85,Gerhard Wagner
86,Anurag Angara
87,trustfarm
88,Iamnot Chris
89,Kaidong Wu
90,Christoph Mussenbrock
91,Andrea Lanfranchi
92,Michele Balistreri
93,Ikmyeong Na
94,Cyril Lapinte
95,Yoav Weiss
96,0age
97,Paul Berg
98,Billy Rennekamp
99,Alex Forshtat
100,Bruno Barbieri
101,Lucas Cullen
102,Vincent Eli
103,Gabriel Barros
104,Danno Ferrin
105,Gregory Markou
106,Alexandre Belling
107,Charles Cooper
108,Loredana Cirstea
109,Shane Jonas
110,Michael Connor
111,Johann Barbie
112,Alex Vlasov
113,Santiago Palladino
114,Lee Raj
115,Julio Faura
116,Daniel Lehrner
117,Pedro Gomes
118,Fernando Paris
119,James Hancock
120,Adrian Sutton
121,John Adler
122,Runchao Han
123,Sean Papanikolas
124,Martin Lundfall
125,Dominic Letz
126,Carl Beekhuizen
127,Eric Conner
128,James Choncholas
129,Ricardo Guilherme Schmidt
130,Edson Ayllon
131,Kristijan Sedlak
132,Christoph Burgdorf
133,Barry WhiteHat
134,Filip tamcar
135,Hadrien Croubois
136,Kelly Olson
137,Joseph Stockermans
138,Hua Zhang
139,Guillaume Ballet
140,Kohshi Shiba
141,Tom Brand
142,Matt Garnett
143,Aaron Kendall
144,Soham Zemse
145,Joel Thorstensson
146,Giuseppe Bertone
147,Jonathan Underwood
148,Tony Carson
149,Sina Mahmoodi
150,William Morriss
151,Nick Gheorghita
152,Gianluca Perletti
153,Zach Burks
154,Sergio Demian Lerner
155,Matt
156,Peter Jihoon Kim
157,Peter Grassberger
158,Youssef El Housni
159,Herman Junge
160,Abdelhamid Bakhta
161,Dr. Christopher Gorman
162,Sam Wilson
163,Michael Sproul
164,Erik Marks
165,Zhenyu Sun
166,Ben Tinner
167,Alberto Cuesta Cañada
168,Weijia Zhang
169,Victor Porton
170,Justice Hudson
171,mineruniter969
172,Query0x
173,Philippe Castonguay
174,Calvin Koder
175,HexZorro
176,Nathan Ginnever
177,pinkiebell
178,Daniel Streit
179,Yu Liu
180,Alex Papageorgiou
181,Will Wang
182,Sam Porter
183,Gajinder Singh
184,Dankrad Feist
185,Joachim Lebrun
186,Mikhail Kalinin
187,Auryn Macmillan
188,Simon Tian
189,Lukas Schor
190,Anton Bukov
191,Tim Beiko
192,Rex Creed
193,Wayne Chang
194,Jules Lai
195,Ansgar Dietrichs
196,Daniel Ivanov
197,George Kadianakis
198,Simon Fremaux
199,Javier Arcenegui
200,Brayton Goodall
201,Ross Campbell
202,William Schwab
203,Aaron Chen
204,Joey Santoro
205,Omar Aflak
206,David Kim
207,Benjamin Chodroff
208,Peter Davies
209,Andrei Maiboroda
210,Alex Stokes
211,David Buckman
212,Joshua Tan
213,Mark Mackey
214,Andrew B Coathup
215,Omnus Sunmo
216,Anders
217,Andreas Freund
218,John Peterson
219,Marius Van Der Wijden
220,Víctor Muñoz
221,Ignacio Mazzara
222,Shu Dong
223,Tim Daubenschütz
224,Daniel Tedesco
225,Devin Conley
226,Harikrishnan Mulackal
227,Lance
228,Green
229,Jarno Marttila
230,Alexi
231,Tyler
232,Mudit Gupta
233,Luc van Kampen
234,Julian Traversa
235,Vu Nguyen
236,Wilkins Chung
237,Tomasz Kajetan Stanczak
238,Brendan Asselstine
239,James
240,Yale ReiSoleil
241,Christophe Le Bars
242,DerivStudio
243,Iván Mañús
244,James Grimmelmann
245,Hyungsuk Kang
246,Yan
247,Stanley Wu
248,Samuele Marro
249,Buzz Cai
250,IronMan_CH
251,Jeremy Z
252,Jan Smra
253,liszechung
254,elie222
255,Lucas Martín Grasso Ramos
256,Saber Yu
257,StartfundInc
258,Philipp Bolte
259,Roy Osherove
260,Isaac Patka
261,Paul Gauvreau
262,Olivier Fernandez
263,Toni Wahrstätter
264,Sean Darcy
265,Oliver Terbu
266,Veega Labs
267,Yan Zhu
268,Allen Zhou
269,Gaurang Torvekar
270,Gavin Fu
271,Firn Protocol
272,HonorLabs
273,Timi
274,foobar
275,cygaar
276,Naim Ashhab
277,Apeguru
278,Austin Zhu
279,Cozy Finance
280,Kosala Hemachandra
281,Filipp Makarov
282,Bruno kvorc
283,2pmflow
284,Moody Salem
285,zlace
286,Paul Edge
287,Ernesto García
288,Nikolai Mushegian
289,Matt Luongo
290,Tim Coulter
291,Leonid Logvinov
292,Dieter Shirley
293,Tyler Yasaka
294,Esteban Mino
295,James Levy
296,James Sangalli
297,Manuel Araoz
298,Tom Carchrae
299,Infernal_toast
300,Chih-Cheng Liang
301,Matt Russo
302,Portal Network Team
303,Zachary Williamson
304,Andrew Cooke
305,Nate Welch
306,Christoph Jentzsch
