,Original_Name,Replace_Name
0,Artur Troian,Artur Troian
1,Francisco de Borja Aranda Castillejo,Francisco de Borja Aranda Castillejo
2,Vitalik Buterin,Vitalik Buterin
3,Afri Schoeden,Afri Schoeden
4,/raw PONG _GHMoaCXLT,/raw PONG _GHMoaCXLT
5,Nye Liu,Nye Liu
6,nobody,nobody
7,Raghav Sood,Raghav Sood
8,Peter Davies,Peter Davies
9,Raw Pong Ghmoa,Raw Pong Ghmoa
10,JoeG,JoeG
11,Ceyhun Onur,Ceyhun Onur
12,Alexey Shekhirin,Alexey Shekhirin
13,Mario Vega,Mario Vega
14,Changhoon Lee,Changhoon Lee
15,Alexey Akhunov,Alexey Akhunov
16,Kenneth Cochran,Kenneth Cochran
17,s7v7nislands,s7v7nislands
18,Ian Norden,Ian Norden
19,Charles Cooper,Charles Cooper
20,Mauricio Perdomo,Mauricio Perdomo
21,Alex Cabrera,Alex Cabrera
22,Sina Mahmoodi,Sina Mahmoodi
23,Gísli Kristjánsson,Gísli Kristjánsson
24,failfmi,failfmi
25,Omer Korner,Omer Korner
26,Nick Paterno,Nick Paterno
27,Giulio Rebuffo,Giulio Rebuffo
28,Reimdal,Reimdal
29,Havard Anda Estensen,Havard Anda Estensen
30,Ivan Bogatyy,Ivan Bogatyy
31,Maxim Andreev,Maxim Andreev
32,Diego Lopez Leon,Diego Lopez Leon
33,Jonathan Chappelow,Jonathan Chappelow
34,Sheldon,Sheldon
35,Vijay Michalik,Vijay Michalik
36,William Setzer,William Setzer
37,Nate Armstrong,Nate Armstrong
38,Hubert Banaszewski,Hubert Banaszewski
39,lazaridiscom,lazaridiscom
40,laughship,laughship
41,emile,emile
42,John Chase,John Chase
43,Runchao Han,Runchao Han
44,Frojdi Dymylja,Frojdi Dymylja
45,Sorin Neacsu,Sorin Neacsu
46,sam bacha,sam bacha
47,Dan Sosedoff,Dan Sosedoff
48,Tangui Clairet,Tangui Clairet
49,Pascal Dierich,Pascal Dierich
50,Katarzyna Turbiarz,Katarzyna Turbiarz
51,Noel Maersk,Noel Maersk
52,George Tebrean,George Tebrean
53,z89,z89
54,cui,cui
55,Ilan Gitter,Ilan Gitter
56,alvaroahp11,alvaroahp11
57,delihiros,delihiros
58,George Patterson,George Patterson
59,HackyMiner,HackyMiner
60,Artem Vorotnikov,Artem Vorotnikov
61,Exca-DK,Exca-DK
62,alexwang,alexwang
63,Kevin Ingersoll,Kevin Ingersoll
64,Gustav Simonsson,Gustav Simonsson
65,Andrea Lanfranchi,Andrea Lanfranchi
66,Ricardo Catalinas Jiménez,Ricardo Catalinas Jiménez
67,Joshua Gutow,Joshua Gutow
68,Jochen Müller,Jochen Müller
69,Jared Doro,Jared Doro
70,dm4,dm4
71,Nicholas,Nicolas Feignon
72,jack meng,jack meng
73,Stephen Guo,Stephen Guo
