,author_id,Full_Name,GitHub_Username,Anonymity_Flag
0,1,Vitalik Buterin,vbuterin,0
1,2,Martin Holst Swende,holiman,0
2,3,Joseph Chow,ethers,0
3,4,Christian Reitwiessner,chriseth,0
4,5,Hudson Jameson,,0
5,6,Felix Lange,fjl,0
6,7,Fabian Vogelsteller,frozeman,0
7,8,Alex Van de Sande,alexvansande,0
8,9,Ronan Sandford,wighawag,0
9,10,Nick Johnson,Arachnid,0
10,11,Alex Beregszaszi,axic,0
11,12,Tjaden Hess,tjade273,0
12,13,Gavin Wood,gavofyork,0
13,14,Maurelian,Maurelian,1
14,16,Nick Mudge,mudgen,0
15,17,Piper Merriam,pipermerriam,0
16,18,Péter Szilágyi,karalabe,0
17,19,Micah Zoltu,micahzoltu,0
18,20,Greg Colvin,gcolvin,0
19,21,Vlad Gluhovsky,,0
20,22,Richard Moore,ricmoo,0
21,23,Afri Schoedon,q9f,0
22,24,Tobias Oberstein,,0
23,25,Daniel A. Nagy,nagydani,0
24,26,Yoichi Hirai,,0
25,27,Isaac Ardis,whilei,0
26,28,Cody Burns,,0
27,29,Remco Bloemen,Recmo,0
28,30,William Entriken,fulldecent,0
29,31,Dan Finlay,DanFinlay,0
30,32,Jack Peterson,,0
31,33,Jacques Dafflon,,0
32,34,Casey Detrio,cdetrio,0
33,35,ligi,ligi,1
34,36,Jordi Baylina,jbaylina,0
35,37,Kashish Khullar,,0
36,38,Carl Larson,,0
37,39,Dan Phifer,,0
38,40,Weiwu Zhang,,0
39,41,Dave Sag,,0
40,42,Jorge Izquierdo,izqui,0
41,43,Dean Eigenmann,,0
42,44,Brooklyn Zelenka,expede,0
43,45,James Ray,jamesray1,0
44,46,Jay Logelin,,0
45,47,David Stanfill,,0
46,48,Matt Lockyer,,0
47,49,Anderson Wesley,andywesley,0
48,50,Danny Ryan,djrtwo,0
49,51,Nick Savers,nicksavers,0
50,52,Tommy Nicholas,tomasienrbc,0
51,53,Pelle Braendgaard,pelle,0
52,54,Phyrex Tsai,,0
53,55,Bradley Leatherwood,,0
54,56,Mark Beylin,,0
55,57,Paul Bouchon,,0
56,58,Antonio Salazar Cardozo,shadowfiend,0
57,59,g. nicholas d'andrea,,0
58,60,Jan Turk,ThunderDeliverer,0
59,61,nitika-goel,,0
60,62,Alexey Akhunov,AlexeyAkhunov,0
61,63,Alan Lu,cag,0
62,64,Witek Radomski,,0
63,65,Peter Murray,yarrumretep,0
64,66,Jet Lim,Nitro888,0
65,67,Albert Chon,,0
66,68,Jim McDonald,mcdee,0
67,69,Simon Jentzsch,,0
68,70,Juliano Rizzo,juli,0
69,71,Zainan Victor Zhou,xinbenlv,0
70,72,Jeff Huang,,0
71,73,Xiaoyu Wang,wxygeek,0
72,74,SmeargleUsedFly,SmeargleUsedFly,1
73,75,Chaitanya Potti,chaitanyapotti,0
74,76,Francisco Giordano,frangio,0
75,77,EOS Classic,eosclassicteam,0
76,78,Wei Tang,sorpaas,0
77,79,Ben Kaufman,,0
78,80,Brian Venturo,atlanticcrypto,0
79,81,Kevin Owocki,,0
80,82,Richard Meissner,rmeissner,0
81,83,Pawel Bylica,chfast,0
82,84,Vittorio Minacori,vittominacori,0
83,85,John Shiple,johnshiple,0
84,86,Maxim Kupriianov,,0
85,87,Gerhard Wagner,thec00n,0
86,88,Anurag Angara,,0
87,89,trustfarm,,1
