,0,0
0,Afri Schoedon,Afr Schoe
1,Giulio,Giulio M
2,Havard Anda Estensen,Håvard Anda Estensen
3,hackyminer,HackyMiner
4,Gustav-Simonsson,Gustav Simonsson
5,marcindsobczak,Marcin Sobczak
6,Tomasz Kajetan Sta?czak,Tomasz K. Stanczak
7,Tomasz Kajetan Sta?czak,Tomasz Kajetan Stanczak
8,???,??
9,???,????
10,Evgeny Danienko,Evgeny Danilenko
11,Michael Montour,Michael Connor
12,Lukasz Rozmej,lukasz.rozmej
13,Enrique Avila Asapche,Enrique Jose  Avila Asapche
14,tmohay,timothy
15,Mason Fischer,Aron Fischer
16,cong,ucwong
17,swaraj18,1swaraj
18,Ziyuan Zhong(???),Ziyuan Zhong
19,Mio,Miro
20,kiel barry,Kiel barry
21,damian-orzechowski,Damian Orzechowski
22,Tomasz K. Stanczak,Tomasz Kajetan Stanczak
23,Nicholas Johnson,Nick Johnson
24,shana,shawn
25,Giulio Rebuffo,Giulio rebuffo
26,Horacio Mijail Antón Quiles,Horacio Mijail Anton Quiles
27,Julian Koh,Julian Y
28,Ha DANG,Ha ?ANG
29,Nick Dodson,Nick Johnson
30,Benjamin Brent,Benjamin Prosnitz
31,David Cai,David Chase
32,aron,aaron
33,Ratan (Rai) Sur,Ratan Rai Sur
34,Alex Sharov,Alexey Sharp
35,Alex Sharov,Alexey Sharov
36,Alex Sharov,Alex Sharp
37,Gabriel Fukushima,Gabriel Camargo Fukushima
38,Pau,Paul
39,Felix Lange,Felix Yan
40,Matt K,Matt Kula
41,YaoZengzeng,Yao Zengzeng
42,Janos Guljas,Jano? Gulja?
43,Christopher Mckay,Chris Mckay
44,Richard Patel,Richard Hart
45,williambannas,williamberman
46,xiekeyang,xiyang
47,gary rong,Gary Rong
48,Alexey Sharp,Alexey Sharov
49,Alexey Sharp,Alex Sharp
50,Jonathan Le Brun,Jonathan Brown
51,Seungbae Yu,Seungbae.yu
52,nolash,lash
53,Elad_,Elad
54,leonardchinonso,Leonard Chinonso
55,Alexey Sharov,Alex Sharp
56,Dan Cline,Dan Laine
57,xiyang,Wuxiang
58,Grzegorz Lesniakiewicz,Greg Lesniakiewicz
59,Sebastian Supreme,SebastianDremo
