,Names_to_Keep,Names_to_Replace,
8,Afri Schoedon,Afri,
136,Caspar Schwarz,Caspar,
138,Caspar Schwarz,Caspar Schwarz-Schilling,
147,Christian Reitwi,Chris Reitwiessner,
198,Dankrad Feist,Dankrad,
242,Diederik Loerakker protolambda,Diederik Loerakker,
249,Dimitry Khokhlov,Dimitry Khokhlov (EF: cpp-ethereum,
257,Dusan Stanivukovic,Dusan,
259,Edson Ayllon,Edson,
260,Eleazar Galano,E.G. Galano,
261,Enrico Del Fante,Enrico,
266,Eugene Danilenko,Eugene D.,
,Fabio Di Fabio,Fabio,
,Fabio Di Fabio,Fabio de Fabio,
272,Felix Lange,Felix,
275,Frederik Harryson,Fred,
,Frederik Harryson,Fredrik,
300,Georgios Konstantopoulos,Georgios K,
301,Greg Colvin,Gcolvin,
304,Greg Colvin,Greg Calvin,
305,Greg Colvin,Greg Colvin (Fell,
311,Guillaume Ballet,Guillame,
315,Holger Drewes,Hale Drewes,
316,Holger Drewes,Hdrewes,
327,Hudson Jameson,Hudson,
340,Jacek Sieka,Jacek Sieka (Status/Nim,
445,Kasey Kirkham,Kasey,
458,Leo Arias,Louis,
459,Louis Guthmann,Borris Mann,
,Lukasz Rozmej,Lucasz R.,
460,Lukasz Rozmej,Lukasz,
467,Marcelo Ruiz de Olano,Marcelo Ruiz,
469,Marcin Sobcz,Marcin,
500,Marius van der Wijden,MariusVanDer,
603,Micah Zoltou,Micah,
619,Nathan,Nishant,
620,Neville Grech,Neville,
624,Peter Szilagyi,PÃÂ©,
631,Pawel Byilca,Pamel B.,
661,Pawel Byilca,Pawel,
662,Pawel Byilca,Pawel Bylica,FALSE
671,Peter Szilagyi,PÃÂ©ter SzilÃÂ¡gyi,
672,Peter Szilagyi,PÃÂ©ter SzilÃÂ¡gyi (,
680,Pooja Ranjan,ECH-Pooja,
698,Rai Ratan Sur,Rai,
699,Rai Ratan Sur,Rai Sur,
710,Roberto Bayardo,Roberto B,
723,Saulius Grigaitis,Saulius,
742,Tenton Van Epps,Tentonvanepps,
743,Tentonvanepps,Trent Van Epps,
,Tim Beico,Tim,
760,Tomasz Stanczak,Tomasz K. Stanczak,
784,Viktor Shepelin,Viktor,
797,Yoav Weiss,Yoav,
806,Zsfelfoldi,Zsolt FelfÃÂ¶ldi,
808,Zuerlein,Zuer,
