Names_to_Keep,Names_to_Replace
Afri Schoeden,Afri Schoedon
Alexey Akhunov,Alexey
Alex Beregszaszi,Alex B.
Alex Beregszaszi,Alex
Alex Vlasov,Alex Viasov
Ameziane Hamlat,Amexiane
Andrew Ashikhmin,Andrew
Ashraf,Ash
Barnabas Busa,Barnabas
Charles C,Charlie
Danno Ferrin,Danno
Daniel Lehrner,Daniel Lerhner
Dan Buchholz,Dan
David Knott,Dave
David Knott,David
Felix Lange,FJL
Greg Colvin,Greg
Guillaume Ballet,Gu
Jacek Glen,Jacek
Jan Xie,Jan Xie (ruby-ethereum
Jim Bennett,Jim
John Adler,John
Hugo de la Cruz,Hugo
Jose,Jose's iPhone
Jochem Brouwer,Jochen
Kamil Chodola,Kam
Karalabe,Kar
Kevaundrav Wedderbum,Kevaundray
Kevaundrav Wedderbum,Kev
Lane Rettig,Lane R
Lefteris Karapetsas,Lefter
Leo Arias,Leo
Mario Havel,Mario
Marius van der Wijden,Marius
Martin Becze,Martin
Mikhail Kalinin,Mikhail
Matt Garnett,Matt
Nick Johnson,Nick
,NONE
Parithosh Jayanthi,pari
Parithosh Jayanthi,Pari
Paul Dworzanski,Paul D
Peter Szilagyi,Peter Szilagy
Phil Lucsak,Phil
Rai Ratan Sur,Rai @ consensys
Sam CM,Sam
Sean Anderson,Sean
Saulius Grigaitis,Saulius Grigaitis | Grandine
Tomasz Drwiega,Tomasz
Alex Stokes,Stokes
,testing)
Tim Bieko,Tim Beico
Tim Bieko,Tim Beiko
Trenton van Epps,Trent van Epps
Trenton van Epps,Trent
Vitalik Buterin,Vitalik
Yuga Cohler,Yuga
