Names_to_Keep,Names_to_Replace,
Afri Schoeden,Afri Schoedon,
Ales Katona,Aleš Katona,
Alexandre Belling,AlexandreBelling,
Alexandre Van de Sande,Alex Van de Sande,
Bruno kvorc,Bruno ?kvorc,
Evgeny Danienko,Evgeny Danilenko,
Gary Rong,gary rong,
Gavin Wood,Gav Wood,
Joseph Cook,Joseph Chow,
Karim Taam,Karim T,
Lightcilent,lightclient,
Marius van der Wijden,Marius Van Der Wijden,
Martin Becze,martin becze,
Maurelian,maurelian,
Nicholas Johnson,Nick Johnson,
Pascal Caversaccio,Pascal Marco Caversaccio,
Pawel Bylica,Pawe? Bylica,FALSE
Peter Szilagyi,Péter Szilágyi,
Phyrex Tsai,PhyrexTsai,
Query0x,query0x,
Tim Beiko,Tim Bieko,
Tomasz Stanczak,Tomasz Kajetan Stanczak,
Xinyang,xiyang,
Zhihao Chen,Zihao Chen,
