,Names_to_Keep,Names_to_Replace
8,???,??
9,???,????
,Afri Schoeden,Afri Schoedon
0,Afri Schoeden,Afr Schoe
36,Alex Sharov,Alex Sharp
35,Alex Sharov,Alexey Sharov
34,Alex Sharp,Alexey Sharp
32,aaron,aron
43,Christopher Mckay,Chris Mckay
21,Damian Orzechowski,damian-orzechowski
56,Dan Cline,Dan Laine
31,David Cai,David Chase
53,Elad,Elad_
13,Enrique Jose  Avila Asapche,Enrique Avila Asapche
10,Evgeny Danilenko,Evgeny Danienko
37,Gabriel Camargo Fukushima,Gabriel Fukushima
47,Gary Rong,gary rong
1,Giulio Rebuffo,Giulio M
,Giulio Rebuffo,Giulio
25,Giulio Rebuffo,Giulio rebuffo
58,Grzegorz Lesniakiewicz,Greg Lesniakiewicz
4,Gustav Simonsson,Gustav-Simonsson
28,Ha DANG,Ha ?ANG
3,HackyMiner,hackyminer
2,Havard Anda Estensen,Håvard Anda Estensen
26,Horacio Mijail Anton Quiles,Horacio Mijail Antón Quiles
42,Janos Guljas,Jano? Gulja?
20,Kiel barry,kiel barry
54,Leonard Chinonso,leonardchinonso
12,Lukasz Rozmej,lukasz.rozmej
5,Marcin Sobczak,marcindsobczak
40,Matt Kula,Matt K
23,Nicholas Johnson,Nick Johnson
38,Paul,Pau
33,Ratan Rai Sur,Ratan (Rai) Sur
51,Seungbae Yu,Seungbae.yu
,Tomasz Stanczak,Tomasz K. Stanczak
22,Tomasz Stanczak,Tomasz Kajetan Stanczak
,Tomasz Stanczak,Tomasz Kajetan Sta?czak
41,Yao Zengzeng,YaoZengzeng
18,Ziyuan Zhong,Ziyuan Zhong(???)
