,Names_to_Keep,Names_to_Replace
95,Alex Stokes,Stokes
96,Alex Stokes,stokes
99,Alex Vlasov,Dusan\Alex Viasov
107,Alexey Akhunov,Alexey A.
154,Thomasz Stancsak,Asz Stanczak
156,Alex axic,Axic
160,Barnabas Busa,Barnabas
188,Caspar Schwarz,Caspar
189,Caspar Schwarz,Caspar Schwarz-Schilling
,Dankrad Feist,Dankrad
,Danny Ryan,Danny
288,Diederik Loerakker,Diederik Loerakker protolambda
290,Dimitry Khokhlov,Dimitry Khokhlov (EF: cpp-ethereum
309,Edson Ayllon,Edson
310,Eleazar Galano,E.G. Galano
311,Enrico Del Fante,Enrico
314,Eugene Danilenko,Eugene D.
315,Fabio Di Fabio,Fabio de Fabio
319,Felix Lange,Felix
324,Frederik Harryson,Fredrik
,Greg Colvin,Gcolvin
,Georgios Konstantopoulos,Georgios K
364,Holder Drewes,Hdrewes
369,Hudson Jameson,Hudson
370,Ian Norden,Iannorden
404,James Prestwich,Prestwich
430,Joseph Chow,Jon Choi
477,Kasey Kirkham,Kasey
491,Lane Rettig,Lane R
,Lukasz Rozmej,Lucasz R.
500,Lukasz Rozmej,Lukasz
506,Marcelo Ruiz de Olano,Marcelo Ruiz
644,Mikhail Kalinin,Mikhail
659,Neville Grech,Neville
660,Ognyan,Ronan
,Peter Szilagy,PÃÂ©
669,Pawel Bylica,Pamel B.
680,Pari,pari
686,Paul Dworzanski,Paul D.
690,Paul Dworzanski,Paul D
691,Pawel Bylica,Pawel
705,Pooja Ranjan,ECH-Pooja
716,Pooja Ranjan,Pooja Ranjan.
724,Rai Ratan Sur,Rai Sur
725,Rai Ratan Sur,Rai
739,Roberto Bayardo,Roberto
740,Roberto Bayardo,Roberto B
743,Sam CM,Sam
767,Thomasz Stancsak,Tomasz K. Stanczak
768,Thomasz Stancsak,Tomasz StaÃÂczak
769,Thomasz Stancsak,Tomasz Stancxak
771,Tim Beiko,Tim
784,Thomasz Stancsak,Asz Stanczak
785,Thomasz Stancsak,Tomasz S
791,Thomasz Stancsak,Tomasz StaÃÂczak
,Vitalik Buterin,Vitalik
829,Zsfelfoldi,Zsolt FelfÃÂ¶ldi
831,Zuerlein,Zuer
