Names_to_Keep,Names_to_Replace
Afri Schoeden,Afri Schoedon
Alex Beregszaszi,Alex B.
Alex Vlasov,Alex Viasov
Ashraf,Ash
Barnabas Busa,Barnabas
Daniel Lehrner,Daniel Lerhner
Felix Lange,FJL
Jan Xie,Jan Xie (ruby-ethereum
Kevaundrav Wedderbum,Kevaundray
Kevaundrav Wedderbum,Kev
Lane Rettig,Lane R
Lefteris Karapetsas,Lefter
Marius van der Wijden,Marius
Nick Johnson,Nick
,NONE
Parithosh Jayanthi,pari
Parithosh Jayanthi,Pari
Peter Szilagyi,Peter Szilagy
Rai Ratan Sur,Rai @ consensys
Sam CM,Sam
Sean Anderson,Sean
Alex Stokes,Stokes
,testing)
Tim Bieko,Tim Beico
Tim Bieko,Tim Beiko
Trenton van Epps,Trent van Epps
Trenton van Epps,Trent
Vitalik Buterin,Vitalik
Yuga Cohler,Yuga
