,Names_to_Keep,Names_to_Replace,
227,Afri Schoedon,Afri Schoe,FALSE
226,Afri Schoedon,Afri Schoeden,FALSE
224,Afri Schoedon,Afri Schoedin,FALSE
267,Afri Schoedon,Afri Schoe,FALSE
239,Afri Schoedon,Afri Schoe,FALSE
238,Afri Schoedon,Afri Schoeden,FALSE
258,Afri Schoedon,Afri Schoe,FALSE
257,Afri Schoedon,Afri Schoeden,FALSE
,Alex Beregszazi,Alex B.,FALSE
266,Alex Beregszazi,Alex Beregszaszi,FALSE
287,Alex Beregszazi,Alex Beregszaszi,FALSE
,Alex Guchowski,Alex G,FALSE
262,Alex Guchowski,Alex,FALSE
129,Alex Guchowski,Alex Gluchowski,FALSE
,Alex Guchowski,AlexLG,
179,Alex Stokes,Alex St,
16,Alex Vlasov,Alex Viasov,
2,Alexey,Alex,
3,Alexey,Alexandey,
4,Alexey,Alexey A.,
105,Andrea Lanfranchi,Andrea Lafranchi,
219,Ansgar Deitrichs,Ansgar Dietrich,
218,Ansgar Deitrichs,Ansgar Dietrichs,
275,Ansgar Dietrichs,Ansgar Dietrich,
192,Afri Schoedon,Afr Schoe,FALSE
195,Afri Schoedon,Afri Schoeden,FALSE
,Afri Schoedon,Arif Schoe,FALSE
194,Afri Schoedon,Afri Schoedon,FALSE
,Artem Vorotnikov,Artem V.,
288,Artem Vorotnikov,Artem,
118,Artem Vorotnikov,Artem Vorotnikob,
,Baptiste Marchand,Baptise Marchand,
278,Barnabas,Barnabe,
198,Bhargava,Bhargavasomu,
29,Boris Mann,Borris Mann,
98,Brett Allsop,Brent Allsop,
115,Charles St Louis,Charles St. Louis,
,Christian Reitweissner,Chris Reitwiessner,
281,Christian Reitweissner,Christian Reitwiessner,FALSE
87,Christian Reitweissner,Chris Reitwiessner,FALSE
85,Christian Reitweissner,Christian Reitwi,FALSE
86,Christian Reitweissner,Christian Reitwiessener,FALSE
88,Christian Reitweissner,Christian Reitwiessner,FALSE
,Christian Reitweissner,Christian Reitwi,FALSE
199,Christian Reitweissner,Christian Reitwiessener,FALSE
200,Christian Reitweissner,Christian Reitwiessner,FALSE
251,Christian Reitwiessener,Chris Reitwiessner,FALSE
252,Christian Reitwiessener,Christian Reitwiessner,FALSE
49,Crypdough,Crypdough.eth,FALSE
94,Daniel Ellison,Daneil Ellison,FALSE
15,Daniel Lehrner,Daniel Lerhner,FALSE
72,Dankrad Feist,DanKrad Feist,FALSE
286,Danny Ferrin,Danno Fertin,FALSE
176,Danny Ferrin,Danno Fertin,FALSE
145,Danny,danny,FALSE
144,Danny,Danny.,FALSE
11,Danny Ferris,Danno Ferris,FALSE
13,Danny Ferris,Danno Fertin,FALSE
231,Danny Ryan,Danny Ryan (EF/,FALSE
291,David Mechler,David Mechier,FALSE
,Dimitry Khokhlov,Dimitry,FALSE
180,Dimitry Khokhlov,Dmitry,FALSE
211,Dimitry Khokhlov,Dimitry Khoklov,FALSE
,Dimitry Khokhlov,Dmitry,FALSE
233,Dimitry Khokhlov,Dmitrii,FALSE
26,Dragan Rakita,Dragan Rakta,FALSE
116,Edson Ayllon,Edson Ayllon .,FALSE
66,Ethan,Etan,FALSE
171,Fabio Di Fabio,Fabio Di,FALSE
60,Fabio Di Fabio,Fabio Di Fab,FALSE
172,Fabio Di Fabio,Fabio Di,FALSE
59,Frederik Harryson,Fred Harryson,FALSE
56,Fred Harryson,Frederik Harrysson,FALSE
58,Fred Harryson,Fredrik Harryson,FALSE
57,Fred Harryson,Fredrik Harrysson,FALSE
261,Frederik Harrysson,Frederik Harryson,FALSE
260,Frederik Harrysson,Fredrik Harryson,FALSE
259,Frederik Harrysson,Fredrik Harrysson,FALSE
293,Fredrik Harryson,Frederik Harryson,FALSE
290,Fredrik Harrysson,Frederik Harryson,FALSE
289,Fredrik Harrysson,Fredrik Harryson,FALSE
166,Gary Schulte,Gary Schlte,FALSE
167,Gary Schulte,Gary Schultz,FALSE
165,Gary Schulte,Gary Schute,FALSE
130,Gary Schulte,Gary Schlte,FALSE
133,Gary Schulte,Gary Schultz,FALSE
131,Gary Schulte,Gary Schute,FALSE
280,Gary Schulte,Gary Schultz,FALSE
177,Gary Schulte,Gary Schulte,TRUE
178,Gary Schulte,Gary Schultz,FALSE
264,Georgios Konstantopoulos,Georgios Konstantop,FALSE
214,Gerg Colvin,Greg Colvin,FALSE
113,Gerg Colvin,Greg Colvin,FALSE
,Gerg Colvin,Greg Colvin (Fell,FALSE
120,Gerg Colvin,Greg Colvin,FALSE
241,Guillaume,Guilaume,FALSE
292,Guillaume,Guilaume,FALSE
107,Holger Drewes,Holder Drewes,FALSE
39,Holger Drewes,Helen George,FALSE
271,Holger Drewes,Holder Drewes,FALSE
244,Hsiao-Wei Wang,Hsiao-Wei,FALSE
73,Ian Norden,Iannorden,FALSE
174,James He,James H.,FALSE
,James He,James HE,FALSE
24,James He,James,FALSE
273,Jamie Lokier,Jami Lokier,FALSE
146,Jochen,jochen,FALSE
91,Joseph Delong,Joesph Delong,FALSE
40,Joseph Chow,JosephC,FALSE
,Joshua Rudolf,Josh R,FALSE
17,Joshua Rudolf,Josh,FALSE
89,Joshua Rudolf,Joshua Rudolph,FALSE
197,Kamil Chodola,Kamil ChodoÃÂa,FALSE
,Karim Taam,Karim T.,FALSE
189,Karim Taam,Karim T,FALSE
42,Karim Taam,Karim,FALSE
43,Karim Taam,Karim T,FALSE
182,Karim Taam,Karim T,FALSE
187,Ken Ng,Ken NG,FALSE
119,Kobi Gurkan,Kobi Gurkian,FALSE
80,Lane R,Lane,FALSE
,Lightclient,Lightcilent,FALSE
208,Lightclient,LightClient,FALSE
209,Lightclient,lightclient,FALSE
222,Lightclient,lightclient,FALSE
149,Lion Dapplion,Loin Dapplion,FALSE
136,Lukasz Rozmej,ÃÂukasz Rozmej,FALSE
134,Lukasz Rozmej,Lukusz Rozmej,FALSE
135,Lukasz Rozmej,Tukasz Rozmej,FALSE
150,Lukasz Rozmej,Tukasz Rozmej,FALSE
253,Martin Holst Swende,Martin,FALSE
,Marcin Sobczak,Marcin,FALSE
30,Marcin Sobczak,Marcin Sobcz,FALSE
,Marek Moraczynski,Marek M,FALSE
170,Marek Moraczynski,Marek,FALSE
,Marek Moraczynski,Marek MoraczyÃÂski,FALSE
