Client_Name,Total_Commits,Attendees,Meetings_Attended,Author_Name,EIP_Authored
Tomasz Kajetan Stanczak,4155,Tim Beiko,84,Vitalik Buterin,44
obscuren,2960,Hudson Jameson,74,Alex Beregszaszi,33
Péter Szilágyi,2613,Pooja Ranjan,67,Nick Johnson,28
Felix Lange,1371,Martin Holst Swende,66,Pawel Bylica,21
Danno Ferrin,1132,Danno Ferrin,56,Gavin John,20
Jeffrey Wilcke,990,Alex Beregszaszi,54,Zainan Victor Zhou,18
Sally MacFarlane,820,Daniel Ellison,50,Martin Holst Swende,16
Martin Holst Swende,706,Greg Colvin,49,Micah Zoltu,16
Taylor Gerring,569,Lightclient,46,Matt Garnett,12
Adrian Sutton,560,Tomasz Stanczak,45,Erik Marks,11
