,Name,Anonymity_Flag
0,Duncan Westland,0
1,Alex Vlasov,0
2,Rick Dudley,0
3,Arnetheduck,1
4,Roberto Bayardo,0
5,Afri Schoeden,0
6,Jules,1
7,Andrew Gross,0
8,Ben DiFrancesco,0
9,Paul Hauner,0
10,Andrew Ashikhmin,0
11,Ben Burns,0
12,Andreas Freund,0
13,Alex Stokes,0
14,Angela Lu,0
15,Evan Van Ness,0
16,Sam CM,0
17,Zixuan Zhang,0
18,Abdelhamid Bakhta,0
19,Ivaylo,1
20,Georgios Konstantopoulos,0
21,Oleg Jakushkin,0
22,Andrian,1
23,Jacek Glen,0
24,Chami Rachid,0
25,Terence,1
26,Daejun Park,0
27,Mario Havel,0
28,Prestwich,1
29,Brett Robertson,0
30,Thibaut Sardan,0
31,Kenway Wang,0
32,Justin Florentine,0
33,MaruisVanDerWijden,0
34,Dankrad Feist,0
35,Meredith Baxter,0
36,Caspar Schwarz,0
37,Dragan Rakita,0
38,Evan Sultanik,0
39,Karalabe,0
40,Matthew Slipper,0
41,Gichiba,1
42,Joseph Lubin,0
43,Frederik Harryson,0
44,Martin Holst Swende,0
45,Alexey Osipov,0
46,Rory Arredondo,0
47,James He,0
48,David Mechler,0
49,Everett Hildenbrandt,0
50,Will Meister,0
51,Liam Horne,0
52,Christian Reitweissner,0
53,Andrew Forman,0
54,0xnako,1
55,S,1
56,Kasey Kirkham,0
57,Mateusz Morusiewicz,0
58,Zachary Williamson,0
59,Adrian Sutton,0
60,Stefan George,0
61,Joseph Cook,0
62,Pooja Ranjan,0
63,Mike Kim,0
64,Martin Koppelmann,0
65,Dade,1
66,Sean Anderson,0
67,Adrian Manning,0
68,Jim Bennett,0
69,Alex Leverington,0
70,Pat Stiles,0
71,Joshua Rudolph,0
72,Ramon Pitter,0
73,Raul Jordan,0
74,Ethan,1
75,Paul Dworzanski,0
76,Jared Wasinger,0
77,Rodia,1
78,Lion Dapplion,0
79,Gunnim,1
80,Qi Zhou,0
81,Ameen Soleimani,0
82,Lance,1
83,Tyevlag,1
84,Jake Gillberg,0
85,Jan Xie,0
86,Jutta Steiner,0
87,Ayman,1
88,Louis Guthmann,0
89,Somu Bhargava,0
90,Soubhik Deb,0
91,Uri Klarman,0
92,Yuga Cohler,0
93,Nhlanhla Hasane,0
94,Crypdough,1
95,Alex Gluchowski,0
96,Virgil Griffith,0
97,Antoine Toulme,0
98,Olivier Begassat,0
99,Ben Adams,0
100,Lane Rettig,0
101,Geoff Hayes,0
102,Karl Floersch,0
103,Brent Allsop,0
104,Tope Alabi,0
105,Zuerlein,1
106,pyethereum),1
107,Jay Welsh,0
108,Bob Summerwill,0
109,Ronan,1
110,Baptiste Marchand,0
111,Jose,1
112,Ignacio Hagopian,0
113,Sajida Zourahi,0
114,Justin Traglia,0
115,George Kadianakis,0
116,Moody,1
117,Hsiao-Wei Wang,0
118,Jeffrey Wilcke,0
119,Pawel Bylica,0
120,Gabriel Trintinalla,0
121,11cyrpt,1
122,Greg Colvin,0
123,James Prestwich,0
124,Boris Petrov,0
125,Danno Ferrin,0
126,Axic,1
127,Ian Norden,0
128,Johnny Rhea,0
129,Brian,1
