,Name,Anonymity_Flag
0,Artur Troian,0
1,Francisco de Borja Aranda Castillejo,0
2,Vitalik Buterin,0
3,Afri Schoeden,0
4,/raw PONG _GHMoaCXLT,1
5,Nye Liu,0
6,nobody,1
7,Raghav Sood,0
8,Peter Davies,0
9,Raw Pong Ghmoa,0
10,JoeG,1
11,Ceyhun Onur,0
12,Alexey Shekhirin,0
13,Mario Vega,0
14,Changhoon Lee,0
15,Alexey Akhunov,0
16,Kenneth Cochran,0
17,s7v7nislands,1
18,Ian Norden,0
19,Charles Cooper,0
20,Mauricio Perdomo,0
21,Alex Cabrera,0
22,Sina Mahmoodi,0
23,Gísli Kristjánsson,0
24,failfmi,1
25,Omer Korner,0
26,Nick Paterno,0
27,Giulio Rebuffo,0
28,Reimdal,1
29,Havard Anda Estensen,0
30,Ivan Bogatyy,0
31,Maxim Andreev,0
32,Diego Lopez Leon,0
33,Jonathan Chappelow,0
34,Sheldon,1
35,Vijay Michalik,0
36,William Setzer,0
37,Nate Armstrong,0
38,Hubert Banaszewski,0
39,lazaridiscom,1
40,laughship,1
41,emile,1
42,John Chase,0
43,Runchao Han,0
44,Frojdi Dymylja,0
45,Sorin Neacsu,0
46,sam bacha,0
47,Dan Sosedoff,0
48,Tangui Clairet,0
49,Pascal Dierich,0
50,Katarzyna Turbiarz,0
51,Noel Maersk,0
52,George Tebrean,0
53,z89,1
54,cui,1
55,Ilan Gitter,0
56,alvaroahp11,1
57,delihiros,1
58,George Patterson,0
59,HackyMiner,1
60,Artem Vorotnikov,0
61,Exca-DK,1
62,alexwang,1
63,Kevin Ingersoll,0
64,Gustav Simonsson,0
65,Andrea Lanfranchi,0
66,Ricardo Catalinas Jiménez,0
67,Joshua Gutow,0
68,Jochen Müller,0
69,Jared Doro,0
70,dm4,1
71,Nicolas Feignon,0
72,jack meng,0
73,Stephen Guo,0
74,naviechan,1
75,henopied,1
76,Christoph Jentzsch,0
77,Aleksey @soar Smyrnov,0
78,Arvid Hast,0
