author_id,Full_Name,GitHub_Username,Anonymity_Flag_x,Unnamed: 0,Name,Anonymity_Flag_y,_merge
,,,,0.0,Artur Troian,0.0,right_only
,,,,1.0,Francisco de Borja Aranda Castillejo,0.0,right_only
,,,,3.0,Afri Schoeden,0.0,right_only
,,,,4.0,/raw PONG _GHMoaCXLT,1.0,right_only
,,,,5.0,Nye Liu,0.0,right_only
,,,,6.0,nobody,1.0,right_only
,,,,7.0,Raghav Sood,0.0,right_only
,,,,9.0,Raw Pong Ghmoa,0.0,right_only
,,,,10.0,JoeG,1.0,right_only
,,,,11.0,Ceyhun Onur,0.0,right_only
,,,,12.0,Alexey Shekhirin,0.0,right_only
,,,,13.0,Mario Vega,0.0,right_only
,,,,14.0,Changhoon Lee,0.0,right_only
,,,,16.0,Kenneth Cochran,0.0,right_only
,,,,17.0,s7v7nislands,1.0,right_only
,,,,20.0,Mauricio Perdomo,0.0,right_only
,,,,21.0,Alex Cabrera,0.0,right_only
,,,,23.0,Gísli Kristjánsson,0.0,right_only
,,,,24.0,failfmi,1.0,right_only
,,,,25.0,Omer Korner,0.0,right_only
,,,,26.0,Nick Paterno,0.0,right_only
,,,,27.0,Giulio Rebuffo,0.0,right_only
,,,,28.0,Reimdal,1.0,right_only
,,,,29.0,Havard Anda Estensen,0.0,right_only
,,,,30.0,Ivan Bogatyy,0.0,right_only
,,,,31.0,Maxim Andreev,0.0,right_only
,,,,32.0,Diego Lopez Leon,0.0,right_only
,,,,33.0,Jonathan Chappelow,0.0,right_only
,,,,34.0,Sheldon,1.0,right_only
,,,,35.0,Vijay Michalik,0.0,right_only
,,,,36.0,William Setzer,0.0,right_only
,,,,37.0,Nate Armstrong,0.0,right_only
,,,,38.0,Hubert Banaszewski,0.0,right_only
,,,,39.0,lazaridiscom,1.0,right_only
,,,,40.0,laughship,1.0,right_only
,,,,41.0,emile,1.0,right_only
,,,,42.0,John Chase,0.0,right_only
,,,,44.0,Frojdi Dymylja,0.0,right_only
,,,,45.0,Sorin Neacsu,0.0,right_only
,,,,46.0,sam bacha,0.0,right_only
,,,,47.0,Dan Sosedoff,0.0,right_only
,,,,48.0,Tangui Clairet,0.0,right_only
,,,,49.0,Pascal Dierich,0.0,right_only
,,,,50.0,Katarzyna Turbiarz,0.0,right_only
,,,,51.0,Noel Maersk,0.0,right_only
,,,,52.0,George Tebrean,0.0,right_only
,,,,53.0,z89,1.0,right_only
,,,,54.0,cui,1.0,right_only
,,,,55.0,Ilan Gitter,0.0,right_only
,,,,56.0,alvaroahp11,1.0,right_only
,,,,57.0,delihiros,1.0,right_only
,,,,58.0,George Patterson,0.0,right_only
,,,,59.0,HackyMiner,1.0,right_only
,,,,60.0,Artem Vorotnikov,0.0,right_only
,,,,61.0,Exca-DK,1.0,right_only
,,,,62.0,alexwang,1.0,right_only
,,,,63.0,Kevin Ingersoll,0.0,right_only
,,,,64.0,Gustav Simonsson,0.0,right_only
,,,,66.0,Ricardo Catalinas Jiménez,0.0,right_only
,,,,67.0,Joshua Gutow,0.0,right_only
,,,,68.0,Jochen Müller,0.0,right_only
,,,,69.0,Jared Doro,0.0,right_only
,,,,70.0,dm4,1.0,right_only
,,,,71.0,Nicolas Feignon,0.0,right_only
,,,,72.0,jack meng,0.0,right_only
,,,,73.0,Stephen Guo,0.0,right_only
,,,,74.0,naviechan,1.0,right_only
,,,,75.0,henopied,1.0,right_only
,,,,77.0,Aleksey @soar Smyrnov,0.0,right_only
,,,,78.0,Arvid Hast,0.0,right_only
,,,,79.0,Donn Trenton,0.0,right_only
