Name,Author_id,From,End
Pawel Bylica,83,2014,
Andrei Maiboroda,214,2016,
Matt Garnett,145,2022,
Martin Holst Swende,2,2022,
Marius Van Der Wijden,226,2020,
g. nicholas d'andrea,59,2023,
Nick Gheorghita,154,2018,
Vitalik Buterin,1,2011,
Eric Conner,130,2020,
Sina Mahmoodi,152,2019,
Joey Santoro,209,2020,
Yoav Weiss,97,2022,
Kristof Gazso,466,2021,2022
Ansgar Dietrichs,200,2022,
Zainan Victor Zhou,71,2017,
Nick Johnson,10,2016,2018
Fabian Vogelsteller,7,2015,2018
Dankrad Feist,188,2019,
Peter Szilagyi,18,2015,
Liraz Siri,355,2020,
Dmitry Khovratovich,371,2019,
Harikrishnan Mulackal,233,2020,2022
Diederik Loerakker,473,2019,
Jared Wasinger,497,2017,
Greg Colvin,20,2016,2016
Soham Zemse,147,2021,
Ryan Ghods,318,2017,2022
Victor Maia,439,2017,2019
Marc Garreau,508,2017,
Justin Drake,519,2017,
