author11,author10,author9,author8,author7,author6,author5,author4,author3,author2,author1,EIP_Number,Title,Author,Status,author1_id,author2_id,author3_id,author4_id,author5_id,author6_id,author7_id,author8_id,author9_id,author10_id,author11_id
,,,,,,,,,,abdelhamidbakhta,3041,Adds `baseFee` to `eth_getBlockByHash`,Abdelhamid Bakhta,Stagnant,163,,,,,,,,,,
,,,,,,,,,,abdelhamidbakhta,3044,Adds `baseFee` to `eth_getBlockByNumber`,Abdelhamid Bakhta,Stagnant,163,,,,,,,,,,
,,,,,,,,,,abdelhamidbakhta,3045,Adds `baseFee` to `eth_getUncleByBlockHashAndIndex`,Abdelhamid Bakhta,Stagnant,163,,,,,,,,,,
,,,,,,,,,,abdelhamidbakhta,3046,Adds `baseFee` to `eth_getUncleByBlockNumberAndIndex`,Abdelhamid Bakhta,Stagnant,163,,,,,,,,,,
,,,,,,,,,,adriansutton,2159,Common Prometheus Metrics Names for Clients,Adrian Sutton,Final,123,,,,,,,,,,
,,,,,,,,,,afrischoedon,999,Restore Contract Code at 0x863DF6BFa4469f3ead0bE8f9F2AAE51c91A907b4,Afri Schoedon,Withdrawn,23,,,,,,,,,,
,,,,,,,,,,afrischoedon,1234,Constantinople Difficulty Bomb Delay and Block Reward Adjustment,Afri Schoedon,Final,23,,,,,,,,,,
,,,,,,,,,,afrischoedon,3238,Difficulty Bomb Delay to Q2/2022,Afri Schoedon,Stagnant,23,,,,,,,,,,
,,,,,,,,,,agustinaguilar,5719,Signature replacement interface,Agustin Aguilar,Draft,250,,,,,,,,,,
,,,,,,,,,,alanlu,1154,Oracle Interface,Alan Lu,Withdrawn,63,,,,,,,,,,
,,,,,,,,,,albertchon,1178,Multi-class Token Standard,Albert Chon,Stagnant,67,,,,,,,,,,
,,,,,,,,,,alexandrebelling,1895,Support for an Elliptic Curve Cycle,Alexandre Belling,Stagnant,109,,,,,,,,,,
,,,,,,,,,,alexberegszaszi,141,Designated invalid EVM instruction,Alex Beregszaszi,Final,11,,,,,,,,,,
,,,,,,,,,,alexberegszaszi,233,Formal process of hard forks,Alex Beregszaszi,Stagnant,11,,,,,,,,,,
,,,,,,,,,,alexberegszaszi,606,Hardfork Meta: Homestead,Alex Beregszaszi,Final,11,,,,,,,,,,
,,,,,,,,,,alexberegszaszi,607,Hardfork Meta: Spurious Dragon,Alex Beregszaszi,Final,11,,,,,,,,,,
,,,,,,,,,,alexberegszaszi,608,Hardfork Meta: Tangerine Whistle,Alex Beregszaszi,Final,11,,,,,,,,,,
,,,,,,,,,,alexberegszaszi,609,Hardfork Meta: Byzantium,Alex Beregszaszi,Final,11,,,,,,,,,,
,,,,,,,,,,alexberegszaszi,663,Unlimited SWAP and DUP instructions,Alex Beregszaszi,Review,11,,,,,,,,,,
,,,,,,,,,,alexberegszaszi,1352,Specify restricted address range for precompiles/system contracts,Alex Beregszaszi,Stagnant,11,,,,,,,,,,
,,,,,,,,,,alexberegszaszi,1803,Rename opcodes for clarity,Alex Beregszaszi,Stagnant,11,,,,,,,,,,
,,,,,,,,,,alexberegszaszi,2014,Extended State Oracle,Alex Beregszaszi,Stagnant,11,,,,,,,,,,
,,,,,,,,,,alexberegszaszi,2046,Reduced gas cost for static calls made to precompiles,Alex Beregszaszi,Stagnant,11,,,,,,,,,,
,,,,,,,,,,alexberegszaszi,2069,Recommendation for using YAML ABI in ERCs/EIPs,Alex Beregszaszi,Stagnant,11,,,,,,,,,,
,,,,,,,,,,alexberegszaszi,2070,Hardfork Meta: Berlin,Alex Beregszaszi,Stagnant,11,,,,,,,,,,
,,,,,,,,,,alexberegszaszi,2488,Deprecate the CALLCODE opcode,Alex Beregszaszi,Stagnant,11,,,,,,,,,,
,,,,,,,,,,alexberegszaszi,2681,Limit account nonce to 2^64-1,Alex Beregszaszi,Final,11,,,,,,,,,,
,,,,,,,,,,alexberegszaszi,4803,Limit transaction gas to a maximum of 2^63-1,Alex Beregszaszi,Stagnant,11,,,,,,,,,,
,,,,,,,,,,alexberegszaszi,6046,Replace SELFDESTRUCT with DEACTIVATE,Alex Beregszaszi,Draft,11,,,,,,,,,,
,,,,,,,,,,alexeyakhunov,2026,State Rent H - Fixed Prepayment for accounts,Alexey Akhunov,Stagnant,62,,,,,,,,,,
,,,,,,,,,,alexeyakhunov,2027,State Rent C - Net contract size accounting,Alexey Akhunov,Stagnant,62,,,,,,,,,,
,,,,,,,,,,alexeyakhunov,2029,State Rent A - State counters contract,Alexey Akhunov,Stagnant,62,,,,,,,,,,
,,,,,,,,,,alexeyakhunov,2031,State Rent B - Net transaction counter,Alexey Akhunov,Stagnant,62,,,,,,,,,,
,,,,,,,,,,alexeyakhunov,2035,Stateless Clients - Repricing SLOAD and SSTORE to pay for block proofs,Alexey Akhunov,Stagnant,62,,,,,,,,,,
,,,,,,,,,,alexforshtat,2542,New opcodes TXGASLIMIT and CALLGASLIMIT,Alex Forshtat,Stagnant,102,,,,,,,,,,
,,,,,,,,,,alexi,5050,Interactive NFTs with Modular Environments,Alexi,Draft,237,,,,,,,,,,
,,,,,,,,,,alexpapageorgiou,3508,Transaction Data Opcodes,Alex Papageorgiou,Stagnant,184,,,,,,,,,,
,,,,,,,,,,alexpapageorgiou,3520,Transaction Destination Opcode,Alex Papageorgiou,Stagnant,184,,,,,,,,,,
,,,,,,,,,,alexvandesande,67,"URI Scheme with Metadata, Value and Bytecode",Alex Van de Sande,Withdrawn,8,,,,,,,,,,
,,,,,,,,,,alexvandesande,1015,Configurable On Chain Issuance,Alex Van de Sande,Stagnant,8,,,,,,,,,,
,,,,,,,,,,alexvandesande,1078,Universal login / signup using ENS subdomains,Alex Van de Sande,Stagnant,8,,,,,,,,,,
,,,,,,,,,,alexvlasov,1962,EC arithmetic and pairings with runtime definitions,Alex Vlasov,Stagnant,115,,,,,,,,,,
,,,,,,,,,,alexvlasov,2539,BLS12-377 curve operations,Alex Vlasov,Stagnant,115,,,,,,,,,,
,,,,,,,,,,alexvlasov,2666,Repricing of precompiles and Keccak256 function,Alex Vlasov,Stagnant,115,,,,,,,,,,
,,,,,,,,,,andersonwesley,1010,Uniformity Between 0xAb5801a7D398351b8bE11C439e05C5B3259aeC9B and 0x15E55EF43efA8348dDaeAa455F16C43B64917e3c,Anderson Wesley,Stagnant,49,,,,,,,,,,
,,,,,,,,,,andreasfreund,4910,Royalty Bearing NFTs,Andreas Freund,Review,224,,,,,,,,,,
,,,,,,,,,,ansgardietrichs,4396,Time-Aware Base Fee Calculation,Ansgar Dietrichs,Stagnant,200,,,,,,,,,,
,,,,,,,,,,antonwahrstatter,5564,Stealth Address Wallets,Anton Wahrstätter,Draft,273,,,,,,,,,,
,,,,,,,,,,aurynmacmillan,3722,Poster,Auryn Macmillan,Stagnant,191,,,,,,,,,,
,,,,,,,,,,bentinner,3143,Increase block rewards to 5 ETH,Ben Tinner,Stagnant,169,,,,,,,,,,
,,,,,,,,,,bradleyleatherwood,1080,Recoverable Token,Bradley Leatherwood,Stagnant,55,,,,,,,,,,
,,,,,,,,,,brianventuro,1295,Modify Ethereum PoW Incentive Structure and Delay Difficulty Bomb,Brian Venturo,Stagnant,80,,,,,,,,,,
,,,,,,,,,,brunobarbieri,1710,URL Format for Web3 Browsers,Bruno Barbieri,Stagnant,103,,,,,,,,,,
,,,,,,,,,,buzzcai,5484,Consensual Soulbound Tokens,Buzz Cai,Final,259,,,,,,,,,,
,,,,,,,,,,calvinkoder,3386,ERC-721 and ERC-1155 to ERC-20 Wrapper,Calvin Koder,Stagnant,178,,,,,,,,,,
,,,,,,,,,,carlbeekhuizen,2333,BLS12-381 Key Generation,Carl Beekhuizen,Stagnant,129,,,,,,,,,,
,,,,,,,,,,carlbeekhuizen,2334,BLS12-381 Deterministic Account Hierarchy,Carl Beekhuizen,Stagnant,129,,,,,,,,,,
,,,,,,,,,,carlbeekhuizen,2335,BLS12-381 Keystore,Carl Beekhuizen,Stagnant,129,,,,,,,,,,
,,,,,,,,,,carllarson,858,Reduce block reward and delay difficulty bomb,Carl Larson,Stagnant,38,,,,,,,,,,
