EIP_Number,Author_1,Author_2,Author_3,Author_4,Author_5,Author_6,Author_7,Author_8,Author_9,Author_10,Author_11,betweenness_centrality
3041,Abdelhamid Bakhta,,,,,,,,,,,0.0018045240206921278
3044,Abdelhamid Bakhta,,,,,,,,,,,0.0018045240206921278
3045,Abdelhamid Bakhta,,,,,,,,,,,0.0018045240206921278
3046,Abdelhamid Bakhta,,,,,,,,,,,0.0018045240206921278
2159,Adrian Sutton,,,,,,,,,,,0.0
999,Afri Schoedon,,,,,,,,,,,0.0012566254772400673
1234,Afri Schoedon,,,,,,,,,,,0.0012566254772400673
3238,Afri Schoedon,,,,,,,,,,,0.0012566254772400673
5719,Agustin Aguilar,,,,,,,,,,,0.0
1154,Alan Lu,,,,,,,,,,,0.0
1178,Albert Chon,,,,,,,,,,,0.0
1895,Alexandre Belling,,,,,,,,,,,0.0
141,Alex Beregszaszi,,,,,,,,,,,0.009374220512254564
233,Alex Beregszaszi,,,,,,,,,,,0.009374220512254564
606,Alex Beregszaszi,,,,,,,,,,,0.009374220512254564
607,Alex Beregszaszi,,,,,,,,,,,0.009374220512254564
608,Alex Beregszaszi,,,,,,,,,,,0.009374220512254564
609,Alex Beregszaszi,,,,,,,,,,,0.009374220512254564
663,Alex Beregszaszi,,,,,,,,,,,0.009374220512254564
1352,Alex Beregszaszi,,,,,,,,,,,0.009374220512254564
1803,Alex Beregszaszi,,,,,,,,,,,0.009374220512254564
2014,Alex Beregszaszi,,,,,,,,,,,0.009374220512254564
2046,Alex Beregszaszi,,,,,,,,,,,0.009374220512254564
2069,Alex Beregszaszi,,,,,,,,,,,0.009374220512254564
2070,Alex Beregszaszi,,,,,,,,,,,0.009374220512254564
2488,Alex Beregszaszi,,,,,,,,,,,0.009374220512254564
2681,Alex Beregszaszi,,,,,,,,,,,0.009374220512254564
4803,Alex Beregszaszi,,,,,,,,,,,0.009374220512254564
6046,Alex Beregszaszi,,,,,,,,,,,0.009374220512254564
2026,Alexey Akhunov,,,,,,,,,,,0.002667247632949019
2027,Alexey Akhunov,,,,,,,,,,,0.002667247632949019
2029,Alexey Akhunov,,,,,,,,,,,0.002667247632949019
2031,Alexey Akhunov,,,,,,,,,,,0.002667247632949019
2035,Alexey Akhunov,,,,,,,,,,,0.002667247632949019
2542,Alex Forshtat,,,,,,,,,,,0.0
5050,Alexi,,,,,,,,,,,0.0
3508,Alex Papageorgiou,,,,,,,,,,,0.0
3520,Alex Papageorgiou,,,,,,,,,,,0.0
67,Alex Van de Sande,,,,,,,,,,,0.011540309654139087
1015,Alex Van de Sande,,,,,,,,,,,0.011540309654139087
1078,Alex Van de Sande,,,,,,,,,,,0.011540309654139087
1962,Alex Vlasov,,,,,,,,,,,0.0
2539,Alex Vlasov,,,,,,,,,,,0.0
2666,Alex Vlasov,,,,,,,,,,,0.0
1010,Anderson Wesley,,,,,,,,,,,0.0
4910,Andreas Freund,,,,,,,,,,,0.0
4396,Ansgar Dietrichs,,,,,,,,,,,0.000784063196908497
5564,Anton Wahrstätter,,,,,,,,,,,0.0
3722,Auryn Macmillan,,,,,,,,,,,0.0
3143,Ben Tinner,,,,,,,,,,,0.0
1080,Bradley Leatherwood,,,,,,,,,,,0.0
1295,Brian Venturo,,,,,,,,,,,0.0
1710,Bruno Barbieri,,,,,,,,,,,0.0
5484,Buzz Cai,,,,,,,,,,,0.0
3386,Calvin Koder,,,,,,,,,,,0.0
2333,Carl Beekhuizen,,,,,,,,,,,0.0
2334,Carl Beekhuizen,,,,,,,,,,,0.0
2335,Carl Beekhuizen,,,,,,,,,,,0.0
858,Carl Larson,,,,,,,,,,,0.0
779,Casey Detrio,,,,,,,,,,,0.0
1898,Charles Cooper,,,,,,,,,,,0.0007561614495144647
5,Christian Reitwiessner,,,,,,,,,,,0.012259834608460623
196,Christian Reitwiessner,,,,,,,,,,,0.012259834608460623
211,Christian Reitwiessner,,,,,,,,,,,0.012259834608460623
2481,Christoph Burgdorf,,,,,,,,,,,0.0
5185,Christophe Le Bars,,,,,,,,,,,0.0
1523,Christoph Mussenbrock,,,,,,,,,,,0.0
698,Cody Burns,,,,,,,,,,,0.0
5643,cygaar,,,,,,,,,,,0.0
2593,Dan Finlay,,,,,,,,,,,0.004590756257929443
681,Daniel A. Nagy,,,,,,,,,,,0.0
2009,Daniel Lehrner,,,,,,,,,,,0.0
3450,Daniel Streit,,,,,,,,,,,0.0
4974,Daniel Tedesco,,,,,,,,,,,0.0
1872,Danno Ferrin,,,,,,,,,,,0.0
3436,Danno Ferrin,,,,,,,,,,,0.0
884,Dave Sag,,,,,,,,,,,0.0
4675,David Kim,,,,,,,,,,,0.0
969,David Stanfill,,,,,,,,,,,0.0
5187,DerivStudio,,,,,,,,,,,0.0
4987,Devin Conley,,,,,,,,,,,0.0
3068,Dr. Christopher Gorman,,,,,,,,,,,0.0
2458,Edson Ayllon,,,,,,,,,,,0.0
1276,EOS Classic,,,,,,,,,,,0.0
2384,Eric Conner,,,,,,,,,,,0.0
3326,Erik Marks,,,,,,,,,,,0.009789356173348703
8,Felix Lange,,,,,,,,,,,0.0010497076785010821
778,Felix Lange,,,,,,,,,,,0.0010497076785010821
868,Felix Lange,,,,,,,,,,,0.0010497076785010821
5753,Filipp Makarov,,,,,,,,,,,0.0
2520,Filip Stamcar,,,,,,,,,,,0.0
5267,Francisco Giordano,,,,,,,,,,,0.001859482504030308
5625,Gavin Fu,,,,,,,,,,,0.0
161,Gavin Wood,,,,,,,,,,,0.0
1470,Gerhard Wagner,,,,,,,,,,,0.0
2848,Giuseppe Bertone,,,,,,,,,,,0.0
5022,Green,,,,,,,,,,,0.0
616,Greg Colvin,,,,,,,,,,,0.002020397674327301
2831,Gregory Markou,,,,,,,,,,,0.0
3709,Gregory Markou,,,,,,,,,,,0.0
3788,Gregory Markou,,,,,,,,,,,0.0
2584,Guillaume Ballet,,,,,,,,,,,0.0
2525,Hadrien Croubois,,,,,,,,,,,0.004073341457675654
5143,Hadrien Croubois,,,,,,,,,,,0.004073341457675654
5806,Hadrien Croubois,,,,,,,,,,,0.004073341457675654
3030,Herman Junge,,,,,,,,,,,0.0
5633,HonorLabs,,,,,,,,,,,0.0
6,Hudson Jameson,,,,,,,,,,,0.0
1491,Iamnot Chris,,,,,,,,,,,0.0
4955,Ignacio Mazzara,,,,,,,,,,,0.0
1588,Ikmyeong Na,,,,,,,,,,,0.0
5489,IronMan_CH,,,,,,,,,,,0.0
3534,Isaac Ardis,,,,,,,,,,,0.0
758,Jack Peterson,,,,,,,,,,,0.0
2390,James Choncholas,,,,,,,,,,,0.0
2025,James Hancock,,,,,,,,,,,0.0013658573605390377
