mod_name,Name,Job title on Etheruem Foudation,Job title 1,Job Title 2,Job Title 3,Company1,Job title in other company,Company2,Job title in other company 2,Company3,Job title in other company 3,Job title 2 in other company,Job title in other company 4,Company4,author_id,co_matched_names,extra_in_co
0age,0age,,Protocol Development,,,opensea,,,,,,,,,98,0age,
abdelhamidbakhta,Abdelhamid Bakhta,,Co-founder,,,Only Dust,,,,,,,,,163,Abdelhamid Bakhta,
adamboudjemaa,Adam Boudjemaa,,Lead Blockchain Developer,,,Polytrade,Head of Blockchain,Retreeb,,,,,,,557,Adam Boudjemaa,
adamlevi,Adam Levi,,Co-founder,,,BackedFi,,,,,,,,,324,Adam Levi,
adriansutton,Adrian Sutton,,Lead Blockchain Protocol Engineer,,,ConsenSys,,,,,,,,,123,Adrian Sutton,
afrischoedon,Afri Schoedon,,Head of Protocol Engineering,,,ChainSafe Systems,,,,,,,,,23,Afri Schoedon,
agustinaguilar,Agustin Aguilar,,Co-founder,,,Pine.finance,,,,,,,,,250,Agustin Aguilar,
alanlu,Alan Lu,,Student,,,,,,,,,,,,63,Alan Lu,
alanscarpellini,Alan Scarpellini,,Blockchain Developer,,,Noku AG,,,,,,,,,360,Alan Scarpellini,
albertchon,Albert Chon,,Co-founder,CTO,,Injective Labs,Tendermint Fellow,Tendermint,,,,,,,67,Albert Chon,
alexberegszaszi,Alex Beregszaszi,Lead Ewasm & Co-lead Solidity,,,,,,,,,,,,,11,Alex Beregszaszi,
alexforshtat,Alex Forshtat,,Software Engineer,,,TabooKey,,,,,,,,,102,Alex Forshtat,
alexstokes,Alex Stokes,,Cryptoeconomist,,,Ephemeral Labs.,,,,,,,,,215,Alex Stokes,
alexvandesande,Alex Van de Sande,Advisor,Co-founder,,,UniLogin,,,,,,,,,8,Alex Van de Sande,
alexvlasov,Alex Vlasov,,SRE,,,ByteDance,,,,,,,,,115,Alex Vlasov,
amirbandeali,Amir Bandeali,,Co-CEO,,,0xlab,,,,,,,,,509,Amir Bandeali,
andreabrancaleoni,Andrea Brancaleoni,,Senior Security Engineer,,,Brave Software,,,,,,,,,494,Andrea Brancaleoni,
andrealanfranchi,Andrea Lanfranchi,,Blockchain Software Architect,,,Horizen Labs,,,,,,,,,93,Andrea Lanfranchi,
andreasfreund,Andreas Freund,,Technology Advisor,,,Sealance,Strategy & Technical Advisor,Envision Blockchain Solutions,,,,,,,224,Andreas Freund,
andreimaiboroda,Andrei Maiboroda,Software Engineer,,,,,,,,,,,,,214,Andrei Maiboroda,
andrewbcoathup,Andrew B Coathup,,Community Manager,,,OpenZeppelin,,,,,,,,,221,Andrew B Coathup,
andrewcooke,Andrew Cooke,,Senior Software Engineer,,,NVIDIA,,,,,,,,,315,Andrew Cooke,
andrewredden,Andrew Redden,,CTO,,,Groundhog,CTO,TokenClub,CTO,BlockCrushr Labs,,,,,326,Andrew Redden,
andychorlian,Andy Chorlian,,Co-founder,,,The Fractional Token Company,NFT reply guy,Metaverse,,,,,,,333,Andy Chorlian,
ankitraj,ankit raj,,CTO,,,Velvet.Capital,,,,,,,,,581,ankit raj,
antonbuenavista,Anton Buenavista,,Ecosystem Growth,,,Pendle,,,,,,,,,482,Anton Buenavista,
antonbukov,Anton Bukov,,Co-founder,,,1inch Network,,,,,,,,,195,Anton Bukov,
antoniosalazarcardozo,Antonio Salazar Cardozo,,CTO,,,Thesis,,,,,,,,,58,Antonio Salazar Cardozo,
anuragangara,Anurag Angara,,Head of Product,,,Canopy Servicing,,,,,,,,,88,Anurag Angara,
aurynmacmillan,Auryn Macmillan,,Founder,,,clr.fund.,,,,,,,,,191,Auryn Macmillan,
austingriffith,Austin Griffith,Web Developer,Director of Research,,,Gitcoin,Cloud Engineer,Madwire?,,,,,,,561,Austin Griffith,
avihulevy,Avihu Levy,,Head of Product & Blockchain Research,,,StarkWare,,,,,,,,,503,Avihu Levy,
benjaminchodroff,Benjamin Chodroff,,Principal Web3 Architect,,,HSBC,CEO,Elabify LLC,Advisor,OpenLeverage,Co-founder,,OffChain Global,,212,Benjamin Chodroff,
benkaufman,Ben Kaufman,,Chief Conspiracy Theorist,CWT News,,,,,,,,,,,79,Ben Kaufman,
bertrandmasius,Bertrand Masius,,Manager,Senior IT Security Consultant,,OWN,,,,,,,,,568,Bertrand Masius,
billyrennekamp,Billy Rennekamp,,Founder,,,Clovers Network,,,,,,,,,100,Billy Rennekamp,
blainemalone,Blaine Malone,,Staff Research Engineer,,,Superlunar,,,,,,,,,459,Blaine Malone,
bradleyleatherwood,Bradley Leatherwood,,Software Engineer,,,Google,,,,,,,,,55,Bradley Leatherwood,
braytongoodall,Brayton Goodall,,Mechanism designer,,,Secure Data Links,,,,,,,,,205,Brayton Goodall,
brendanasselstine,Brendan Asselstine,,CTO,,,PoolTogether Inc.,,,,,,,,,245,Brendan Asselstine,
brianr.bondy,Brian R. Bondy,,Co-founder,CTO,,Brave Software,,,,,,,,,413,Brian R. Bondy,
brianventuro,Brian Venturo,,CTO,,,CoreWeave,,,,,,,,,80,Brian Venturo,
brooklynzelenka,Brooklyn Zelenka,,Co-founder,CTO,,FISSON,,,,,,,,,44,Brooklyn Zelenka,
brunobarbieri,Bruno Barbieri,,Mobil Engineer,,,Rainbow,,,,,,,,,103,Bruno Barbieri,
buzzcai,Buzz Cai,,Founder,,,Rumble,,,,,,,,,259,Buzz Cai,
carlbeekhuizen,Carl Beekhuizen,Eth 2.0 Researcher,,,,,,,,,,,,,129,Carl Beekhuizen,
carllarson,Carl Larson,,Tech Lead,,,IBM,,,,,,,,,38,Carl Larson,
chaitanyapotti,Chaitanya Potti,,Head of engineering,,,Web3Auth,,,,,,,,,75,Chaitanya Potti,
charleslehner,Charles Lehner,,Software Developer,,,Spruce Systems,,,,,,,,,492,Charles Lehner,
chih-chengliang,Chih-Cheng Liang,,Developer,,,Ethereum Research,Data Scientist,Linker Networks Inc.,,,,,,,310,Chih-Cheng Liang,
christianreitwiessner,Christian Reitwiessner,Team Lead Solidity and Ethereum C++ implementation,Independent Researcher,,,Truebit,,,,,,,,,4,Christian Reitwiessner,
christiantzurcanu,Christian Tzurcanu,,Volunteer,,,The Laurel Project,,,,,,,,,341,Christian Tzurcanu,
christophburgdorf,Christoph Burgdorf,Senior Software Engineer,,,,,,,,,,,,,135,Christoph Burgdorf,
codyburns,Cody Burns,,Manager,Blockchain Architect,,Accenture,Founder,Chippr Robotics,,,,,,,28,Cody Burns,
cyrillapinte,Cyril Lapinte,,Founder,,,Openfiz,Founder,C-Layer,Geneva Founder,Devchain,,,,,96,Cyril Lapinte,
damianmartinelli,Damian Martinelli,,CTO,,,Fulbo Galaxy,Teacher,Organizacion de Datos,,,,,,,474,Damian Martinelli,
danfinlay,Dan Finlay,,Software Developer,,,ConsenSys,,,,,,,,,31,Dan Finlay,
