mod_name,author_name,EIP,following,follower,link,Linkedin,...7,extra_in_twitter,author_id,tw_matched_names
0age,0age,2,86,9416,https://twitter.com/z0age,,,,98,0age
0xtriple7,0xTriple7,1,,,,no found,,,417,0xTriple7
2pmflow,2pmflow,1,997,9616,https://twitter.com/2pmflow,,,,293,2pmflow
aaronchen,Aaron Chen,1,,,,no found,,,208,Aaron Chen
aaronkendall,Aaron Kendall,1,,,,no found,,,146,Aaron Kendall
abdelhamidbakhta,Abdelhamid Bakhta,7,541,13400,https://twitter.com/dimahledba,,,,163,Abdelhamid Bakhta
abhimanyunag,Abhimanyu Nag,1,,,,no found,,,536,Abhimanyu Nag
adamboudjemaa,Adam Boudjemaa,1,,,,no found,,,557,Adam Boudjemaa
adamlevi,Adam Levi,1,,,,no found,,,324,Adam Levi
adriansutton,Adrian Sutton,1,295,3546,https://twitter.com/ajsutton,,,,123,Adrian Sutton
afrischoedon,Afri Schoedon,6,141,131,https://twitter.com/a4fri,,,,23,Afri Schoedon
agustinaguilar,Agustin Aguilar,1,,,,no found,,,250,Agustin Aguilar
alanlu,Alan Lu,1,,,,no found,,,63,Alan Lu
alanscarpellini,Alan Scarpellini,1,,,,no found,,,360,Alan Scarpellini
albertchon,Albert Chon,1,2061,1328,https://twitter.com/albertchon,,,,67,Albert Chon
albertocuestacaria,Alberto Cuesta Caria,4,98,3988,https://twitter.com/alcueca,,,Extra in Twitter,170,Alberto Cuesta Caria
alejosalles,Alejo Salles,1,,,,no found,,,514,Alejo Salles
alex,Alex,2,,,,no found,,,385,Alex
alexandrebelling,Alexandre Belling,1,245,148,https://twitter.com/alexand_belling,,,,109,Alexandre Belling
alexberegszaszi,Alex Beregszaszi,39,689,6703,https://twitter.com/alexberegszaszi,,,,11,Alex Beregszaszi
alexeyakhunov,Alexey Akhunov,8,,,,no found,,,62,Alexey Akhunov
alexforshtat,Alex Forshtat,5,136,22,https://twitter.com/forshtat,,,,102,Alex Forshtat
alexi,Alexi,1,,,,no found,,,237,Alexi
alexpapageorgiou,Alex Papageorgiou,2,,,,no found,,,184,Alex Papageorgiou
