,oracle,protocol,tvl
0,chainlink,aave-v3,3768330724
1,chainlink,aave-v2,2167096070
2,chainlink,spark,1815151640
3,chainlink,compound-v3,1079805128
4,chainlink,compound-v2,1210024380
5,chainlink,venus-core-pool,0
6,chainlink,synthetix,420976664.1
7,chainlink,liquity,660252497.9
8,chainlink,morpho-aave,371349184.5
9,chainlink,gmx-v2,0
10,chainlink,dydx,358810034.8
11,chainlink,lybra-v2,292587950.2
12,chainlink,radiant-v2,46268851.08
13,chainlink,benqi-lending,0
14,chainlink,gmx-v1,0
15,chainlink,morpho-aavev3,225941722.5
16,chainlink,nexus-mutual,223797876.3
17,chainlink,silo-finance,153389909.9
18,chainlink,fraxlend,200024360.6
19,chainlink,abracadabra,116302009.4
20,chainlink,enzyme-finance,143107940.1
21,chainlink,loopring,110107355.4
22,chainlink,set-protocol,91305673.55
23,chainlink,cian,24602808.46
24,chainlink,seamless-protocol,0
25,chainlink,flexa,73543715.12
26,chainlink,homora-v2,65741542.3
27,chainlink,sommelier,64730230.16
28,chainlink,kinza-finance,0
29,chainlink,mux-protocol,0
30,chainlink,moonwell,0
31,chainlink,inverse-finance-firm,51710037.98
32,chainlink,gravita-protocol,40636980.62
33,chainlink,dodo,16986817.77
34,chainlink,angle,28653010.6
35,chainlink,gearbox,31951020.72
36,chainlink,jpegd,31506786.96
37,chainlink,gyroscope-protocol,17898552.4
38,chainlink,injective-bridge,30704913.03
39,chainlink,morpho-compound,28864443.57
40,chainlink,vaultka,0
41,chainlink,reflexer,24536114.59
42,chainlink,extra-finance,0
43,chainlink,parallel-protocol,21297668.2
44,chainlink,aktionariat,17024503.44
45,chainlink,vesper,14663115.34
46,chainlink,bifi,900274.9468
47,chainlink,liqee,635844.8391
48,chainlink,toros,0
49,chainlink,woofi-swap,0
50,chainlink,dolomite,0
51,chainlink,b.protocol,19370079.14
52,chainlink,lybra-v1,18441127.54
53,chainlink,lodestar-v1,0
54,chainlink,aave-v1,15536184.67
