eip_number,Title,Author,Author1,Author2,Author3,Author4,Author5,Author6,Author7,Author8,Author9,Author10,Author11,Author12,Author13,Author14,Author15,author1_id,author2_id,author3_id,author4_id,author5_id,author6_id,author7_id,author8_id,author9_id,author10_id,author11_id,author12_id,author13_id,author14_id,author15_id
1,EIP Purpose and Guidelines,"Martin Becze <[email protected]>, Hudson Jameson <[email protected]>, et al.",Martin Becze,Hudson Jameson,,,,,,,,,,,,,,664,5.0,,,,,,,,,,,,,
5069,EIP Editor Handbook,"Pooja Ranjan (@poojaranjan), Gavin John (@Pandapip1)",Pooja Ranjan,Gavin John,,,,,,,,,,,,,,601,661.0,,,,,,,,,,,,,
2,Homestead Hard-fork Changes,Vitalik Buterin (@vbuterin),Vitalik Buterin,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
4,EIP Classification,Joseph Chow (@ethers),Joseph Chow,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
5,Gas Usage for `RETURN` and `CALL*`,Christian Reitwiessner <[email protected]>,Christian Reitwiessner,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,
6,Renaming SUICIDE opcode,Hudson Jameson <[email protected]>,Hudson Jameson,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,
7,DELEGATECALL,Vitalik Buterin (@vbuterin),Vitalik Buterin,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
8,devp2p Forward Compatibility Requirements for Homestead,Felix Lange <[email protected]>,Felix Lange,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,
20,Token Standard,"Fabian Vogelsteller <[email protected]>, Vitalik Buterin <[email protected]>",Fabian Vogelsteller,Vitalik Buterin,,,,,,,,,,,,,,7,1.0,,,,,,,,,,,,,
55,Mixed-case checksum address encoding,"Vitalik Buterin <[email protected]>, Alex Van de Sande <[email protected]>",Vitalik Buterin,Alex Van de Sande,,,,,,,,,,,,,,1,8.0,,,,,,,,,,,,,
100,Change difficulty adjustment to target mean block time including uncles,Vitalik Buterin (@vbuterin),Vitalik Buterin,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
137,Ethereum Domain Name Service - Specification,Nick Johnson <[email protected]>,Nick Johnson,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,
140,REVERT instruction,"Alex Beregszaszi (@axic), Nikolai Mushegian <[email protected]>",Alex Beregszaszi,Nikolai Mushegian,,,,,,,,,,,,,,11,298.0,,,,,,,,,,,,,
