,author_id,Full_Name,GitHub_Username,URL,GitHub_Followers
0,1,Vitalik Buterin,vbuterin,https://github.com/vbuterin,11000.0
1,2,Martin Holst Swende,holiman,https://github.com/holiman,793.0
2,3,Joseph Chow,ethers,https://github.com/ethers,433.0
3,4,Christian Reitwiessner,chriseth,https://github.com/chriseth,1300.0
5,6,Felix Lange,fjl,https://github.com/fjl,743.0
6,7,Fabian Vogelsteller,frozeman,https://github.com/frozeman,1800.0
7,8,Alex Van de Sande,alexvansande,https://github.com/alexvansande,40.0
8,9,Ronan Sandford,wighawag,https://github.com/wighawag,689.0
9,10,Nick Johnson,Arachnid,https://github.com/Arachnid,1500.0
10,11,Alex Beregszaszi,axic,https://github.com/axic,1600.0
11,12,Tjaden Hess,tjade273,https://github.com/tjade273,108.0
12,13,Gavin Wood,gavofyork,https://github.com/gavofyork,3800.0
13,14,Maurelian,Maurelian,https://github.com/Maurelian,429.0
15,16,Nick Mudge,mudgen,https://github.com/mudgen,665.0
16,17,Piper Merriam,pipermerriam,https://github.com/pipermerriam,1100.0
17,18,Péter Szilágyi,karalabe,https://github.com/karalabe,2300.0
18,19,Micah Zoltu,micahzoltu,https://github.com/micahzoltu,452.0
19,20,Greg Colvin,gcolvin,https://github.com/gcolvin,172.0
21,22,Richard Moore,ricmoo,https://github.com/ricmoo,1200.0
22,23,Afri Schoedon,q9f,https://github.com/q9f,498.0
24,25,Nagy,nagydani,https://github.com/nagydani,74.0
26,27,Isaac Ardis,whilei,https://github.com/whilei,84.0
28,29,Remco Bloemen,Recmo,https://github.com/Recmo,474.0
29,30,William Entriken,fulldecent,https://github.com/fulldecent,890.0
30,31,Dan Finlay,DanFinlay,https://github.com/DanFinlay,707.0
33,34,Casey Detrio,cdetrio,https://github.com/cdetrio,319.0
34,35,ligi,ligi,https://github.com/ligi,1700.0
35,36,Jordi Baylina,jbaylina,https://github.com/jbaylina,507.0
41,42,Jorge Izquierdo,izqui,https://github.com/izqui,649.0
43,44,Brooklyn Zelenka,expede,https://github.com/expede,772.0
44,45,James Ray,jamesray1,https://github.com/jamesray1,140.0
48,49,Anderson Wesley,andywesley,https://github.com/andywesley,2.0
49,50,Danny Ryan,djrtwo,https://github.com/djrtwo,585.0
50,51,Nick Savers,nicksavers,https://github.com/nicksavers,51.0
51,52,Tommy Nicholas,tomasienrbc,https://github.com/tomasienrbc,6.0
52,53,Pelle Braendgaard,pelle,https://github.com/pelle,263.0
57,58,Antonio Salazar Cardozo,shadowfiend,https://github.com/shadowfiend,135.0
59,60,Jan Turk,ThunderDeliverer,https://github.com/ThunderDeliverer,11.0
61,62,Alexey Akhunov,AlexeyAkhunov,https://github.com/AlexeyAkhunov,225.0
62,63,Alan Lu,cag,https://github.com/cag,65.0
64,65,Peter Murray,yarrumretep,https://github.com/yarrumretep,14.0
65,66,Jet Lim,Nitro888,https://github.com/Nitro888,14.0
67,68,Jim McDonald,mcdee,https://github.com/mcdee,177.0
69,70,Juliano Rizzo,juli,https://github.com/juli,49.0
70,71,Zainan Victor Zhou,xinbenlv,https://github.com/xinbenlv,137.0
72,73,Xiaoyu Wang,wxygeek,https://github.com/wxygeek,176.0
74,75,Chaitanya Potti,chaitanyapotti,https://github.com/chaitanyapotti,76.0
75,76,Francisco Giordano,frangio,https://github.com/frangio,657.0
79,80,Brian Venturo,atlanticcrypto,https://github.com/atlanticcrypto,4.0
81,82,Richard Meissner,rmeissner,https://github.com/rmeissner,194.0
82,83,Pawel Bylica,chfast,https://github.com/chfast,597.0
83,84,Vittorio Minacori,vittominacori,https://github.com/vittominacori,486.0
86,87,Gerhard Wagner,thec00n,https://github.com/thec00n,126.0
91,92,Christoph Mussenbrock,christoph2806,https://github.com/christoph2806,37.0
92,93,Andrea Lanfranchi,AndreaLanfranchi,https://github.com/AndreaLanfranchi,66.0
93,94,Michele Balistreri,bitgamma,https://github.com/bitgamma,46.0
96,97,Yoav Weiss,yoavw,https://github.com/yoavw,60.0
97,98,0age,0age,https://github.com/0age,690.0
98,99,Paul Berg,PaulRBerg,https://github.com/PaulRBerg,1500.0
99,100,Billy Rennekamp,okwme,https://github.com/okwme,436.0
100,101,Felix J Lange,fjl,https://github.com/fjl,743.0
101,102,Alex Forshtat,forshtat,https://github.com/forshtat,20.0
102,103,Bruno Barbieri,brunobar79,https://github.com/brunobar79,249.0
103,104,Lucas Cullen,BitcoinBrisbane,https://github.com/BitcoinBrisbane,144.0
104,105,Vincent Eli,Bunjin,https://github.com/Bunjin,82.0
106,107,Danno Ferrin,shemnon,https://github.com/shemnon,112.0
107,108,Gregory Markou,GregTheGreek,https://github.com/GregTheGreek,169.0
109,110,Charles Cooper,charles-cooper,https://github.com/charles-cooper,189.0
110,111,Loredana Cirstea,loredanacirstea,https://github.com/loredanacirstea,245.0
111,112,Shane Jonas,shanejonas,https://github.com/shanejonas,121.0
112,113,Michael Connor,iAmMichaelConnor,https://github.com/iAmMichaelConnor,21.0
113,114,Johann Barbie,johannbarbie,https://github.com/johannbarbie,96.0
114,115,Alex Vlasov,shamatar,https://github.com/shamatar,147.0
115,116,Santiago Palladino,spalladino,https://github.com/spalladino,627.0
116,117,Lee Raj,lerajk,https://github.com/lerajk,54.0
119,120,Pedro Gomes,pedrouid,https://github.com/pedrouid,617.0
121,122,James Hancock,MadeofTin,https://github.com/MadeofTin,35.0
