Name,Github_Username,Company,Job _Title,Client,Past_company,Job_title_Pastcompany1
Jeffrey Wilcke,obscuren,Grid Games,co-founder,Geth,,
Peter Szilagyi,karalabe,Ethereum Foundation,Core Developer,Geth,,
Felix Lange,fjl,Ethereum Foundation,,Geth,,
Martin Holst Swende,holiman,Ethereum Foundation,Core Developer,Geth,,
Taylor Gerring,tgerring,,,Geth,Blockchain Institute Chicago,Executive Director
Victor Tron,zelig,Ethereum Foundation,,Geth,,
,rjl493456442,,,Geth,,
Christoph Jentzsch,CJentzsch,Tokenize.it,CEO,Geth,,
Marius van der Wijden,MariusVanDerWijden,Ethereum Foundation,Software Developer,Geth,,
Marek Kotewicz,debris,Parity Technologies,Core Developer,Geth,,
Guillaume Ballet,gballet,Ethereum Foundation,Core Developer,Geth,,
Felfoldi Zsolt,zsfelfoldi,Ethereum Foundation,Core Developer,Geth,,
Ucwong,ucwong,Cortex Foundation,,Geth,,
Anton Evangelatov,nonsense,Protocol Labs,Software Engineer,Geth,,
Sina Mehmoodi,s1na,Ethereum Foundation,Core Developer,Geth,,
Delwang,jsvisia,,,Geth,,
Janos Guljas,janos,Debian,Developer,Geth,,
,bas-vk,,,Geth,,
,acud,,,Geth,,
,lightclient,,,Geth,,
Danno Ferrin,shemnon,Swirlds Lab,Principal Software Engineer,Besu,,
Sally MacFarlane,macfarla,ConsenSys,Protocol Enginner,Besu,,
Adrian Sutton,ajsutton,Oplabs,Staff Protocol Engineer,Besu,,
Madeline Murray,MadelineMurray,ConsenSys,Group Manager,Besu,,
,garyschulte,,,Besu,,
,matkt,,,Besu,,
Trent Mohay,rain-on,Octopus Deploy,Lead Software Engineer,Besu,,
Fabio Di Fabio,fab-10,ConsenSys,,Besu,,
Lucas Saldanha,lucassaldanha,ConsenSys,Lead Blockchain Protocol Engineer,Besu,,
,RatanRSur,,,Besu,,
Abdelhamid Bakhta,abdelhamidbakhta,Starkware,,Besu,,
,jframe,,,Besu,,
,mbaxter,,,Besu,,
Simon Dudley,siladu,ConsenSys,Staff Blockchain Protocol Engineer,Besu,,
Stefan Pingel,pinges,ConsenSys,Staff Blockchain Protocol Engineer,Besu,,
Justin Florentine,jflo,ConsenSys,Staff Blockchain Protocol Engineer,Besu,,
,Errorific,,,Besu,,
,mark-terry,,,Besu,,
Nicolas Massart,NicolasMassart,ConsenSys,Mobile Enginner,Besu,,
Antoin Toulme,atoulme,Splunk,Senior Engineering Manager,Besu,,
Jeffrey Wilcke,obscuren,Grid Games,co-founder,Erigon,,
,AskAlexSharov,,,Erigon,,
Peter Szilagyi,karalabe,Ethereum Foundation,Core Developer,Erigon,,
Felix Lange,fjl,Ethereum Foundation,,Erigon,,
,AlexeyAkhunov,,,Erigon,,
Taylor Gerring,tgerring,,,Erigon,Blockchain Institute Chicago,Executive Director
Guilio Rebuffo,Giulio2002,Erigon,Project Lead,Erigon,,
Andrew Ashikhmin,yperbasis,Erigon,Software Engineer,Erigon,,
Igor Mandrigin,mandrigin,gateway.fn,CTO,Erigon,,
Victor Tron,zelig,Ethereum Foundation,,Erigon,,
Martin Holst Swende,holiman,Ethereum Foundation,Core Developer,Erigon,,
Christoph Jentzsch,CJentzsch,Tokenize.it,CEO,Erigon,,
Marek Kotewicz,debris,Parity Technologies,Core Developer,Erigon,,
,rjl493456442,,,Erigon,,
Felfoldi Zsolt,zsfelfoldi,Ethereum Foundation,Core Developer,Erigon,,
Guillaume Ballet,gballet,Ethereum Foundation,Core Developer,Erigon,,
Enrique Avila Asapache,enriavil1,,,Erigon,,
Anton Evangelatov,nonsense,Protocol Labs,Software Engineer,Erigon,,
Janos Guljas,janos,Debian,Developer,Erigon,,
Marius van der Wijden,MariusVanDerWijden,Ethereum Foundation,Software Developer,Erigon,,
Tomasz Kajetan Stanczak,tkstanczak,Nethermind,Founder,Nethermind,,
Lukasz Rozmej,LukaszRozmej,Nethermind,Technical Lead,Nethermind,,
Mateusz Jedrzejewski,matilote,Nethermind,,Nethermind,,
Piotr Gankiewicz,spetz,Iggy.rs,Founder,Nethermind,,
Marek Moraczynski,MarekM25,Nethermind,Senior Software Engineer,Nethermind,,
Amirul Ashraf,asdacap,,,Nethermind,,
Marcin Sobczak,marcindsobczak,Nethermind,Ethereum Core Developer,Nethermind,,
Greg Lesniakiewicz,glesniakiewicz,Willett Advisors (Michael Bloomberg's Family Office) ,,Nethermind,,
Ben Adams,benaadams,Illyriad Games,CTO,Nethermind,,
Ruben Buniyatian,rubo,Nethermind,Senior Software Engineer,Nethermind,,
Timur Badretdinov,Destiner,,,Nethermind,,
Sebastian Dremo,SebastianDremo,Dataedo,SQL parser developer,Nethermind,,
Ahmad Bitar,smartprogrammer93,,,Nethermind,,
Katarzyna Gankiewicz,kasiagankiewicz,Clariant,Project Manager,Nethermind,,
Nikita Mescheryakov,deffrian,Nethermind,Software Engineer,Nethermind,,
Alexey,flcl42,Nethermind,,Nethermind,,
Kamil Chodola,kamilchodola,Nethermind,Senior QA Engineer,Nethermind,,
Jorge Mederos,jmederosalvarado,,,Nethermind,,
Sly Gryphon,sgryphon,Telstra Purple,Lead Consultant,Nethermind,,
Daniel Celeda,dceleda,Nethermind,co-CTO,Nethermind,,
