author_id,Full_Name,GitHub_Username
1,Vitalik Buterin,vbuterin
2,Martin Holst Swende,holiman
3,Joseph Chow,ethers
4,Christian Reitwiessner,chriseth
5,Hudson Jameson,
6,Felix Lange,fjl
7,Fabian Vogelsteller,frozeman
8,Alex Van de Sande,alexvansande
9,Ronan Sandford,wighawag
10,Nick Johnson,Arachnid
11,Alex Beregszaszi,axic
12,Tjaden Hess,tjade273
13,Gavin Wood,gavofyork
14,Maurelian,Maurelian
16,Nick Mudge,mudgen
17,Piper Merriam,pipermerriam
18,Péter Szilágyi,karalabe
19,Micah Zoltu,micahzoltu
20,Greg Colvin,gcolvin
21,Vlad Gluhovsky,
22,Richard Moore,ricmoo
23,Afri Schoedon,q9f
24,Tobias Oberstein,
25,Daniel A. Nagy,nagydani
26,Yoichi Hirai,
27,Isaac Ardis,whilei
28,Cody Burns,
29,Remco Bloemen,Recmo
30,William Entriken,fulldecent
31,Dan Finlay,DanFinlay
32,Jack Peterson,
33,Jacques Dafflon,
34,Casey Detrio,cdetrio
35,ligi,ligi
36,Jordi Baylina,jbaylina
37,Kashish Khullar,
38,Carl Larson,
39,Dan Phifer,
40,Weiwu Zhang,
41,Dave Sag,
42,Jorge Izquierdo,izqui
43,Dean Eigenmann,
44,Brooklyn Zelenka,expede
45,James Ray,jamesray1
46,Jay Logelin,
47,David Stanfill,
48,Matt Lockyer,
49,Anderson Wesley,andywesley
50,Danny Ryan,djrtwo
51,Nick Savers,nicksavers
52,Tommy Nicholas,tomasienrbc
53,Pelle Braendgaard,pelle
54,Phyrex Tsai,
55,Bradley Leatherwood,
56,Mark Beylin,
57,Paul Bouchon,
58,Antonio Salazar Cardozo,shadowfiend
59,g. nicholas d'andrea,
60,Jan Turk,ThunderDeliverer
61,nitika-goel,
62,Alexey Akhunov,AlexeyAkhunov
63,Alan Lu,cag
64,Witek Radomski,
65,Peter Murray,yarrumretep
66,Jet Lim,Nitro888
67,Albert Chon,
68,Jim McDonald,mcdee
69,Simon Jentzsch,
70,Juliano Rizzo,juli
71,Zainan Victor Zhou,xinbenlv
72,Jeff Huang,
73,Xiaoyu Wang,wxygeek
74,SmeargleUsedFly,SmeargleUsedFly
75,Chaitanya Potti,chaitanyapotti
76,Francisco Giordano,frangio
77,EOS Classic,eosclassicteam
78,Wei Tang,sorpaas
79,Ben Kaufman,
80,Brian Venturo,atlanticcrypto
81,Kevin Owocki,
82,Richard Meissner,rmeissner
83,Pawel Bylica,chfast
84,Vittorio Minacori,vittominacori
85,John Shiple,johnshiple
86,Maxim Kupriianov,
87,Gerhard Wagner,thec00n
88,Anurag Angara,
89,trustfarm,
90,Iamnot Chris,cohabo
91,Kaidong Wu,
92,Christoph Mussenbrock,christoph2806
93,Andrea Lanfranchi,AndreaLanfranchi
94,Michele Balistreri,bitgamma
95,Ikmyeong Na,naikmyeong
96,Cyril Lapinte,
97,Yoav Weiss,yoavw
98,0age,0age
99,Paul Berg,PaulRBerg
100,Billy Rennekamp,okwme
102,Alex Forshtat,forshtat
103,Bruno Barbieri,brunobar79
104,Lucas Cullen,BitcoinBrisbane
105,Vincent Eli,Bunjin
106,Gabriel Barros,
107,Danno Ferrin,shemnon
108,Gregory Markou,GregTheGreek
109,Alexandre Belling,
110,Charles Cooper,charles-cooper
111,Loredana Cirstea,loredanacirstea
112,Shane Jonas,shanejonas
113,Michael Connor,iAmMichaelConnor
114,Johann Barbie,johannbarbie
115,Alex Vlasov,shamatar
116,Santiago Palladino,spalladino
117,Lee Raj,lerajk
118,Julio Faura,
119,Daniel Lehrner,
120,Pedro Gomes,pedrouid
121,Fernando Paris,
122,James Hancock,MadeofTin
123,Adrian Sutton,ajsutton
124,John Adler,adlerjohn
125,Runchao Han,
126,Sean Papanikolas,pizzarob
127,Martin Lundfall,MrChico
128,Dominic Letz,dominicletz
129,Carl Beekhuizen,
130,Eric Conner,econoar
131,James Choncholas,james-choncholas
132,Ricardo Guilherme Schmidt,3esmit
133,Edson Ayllon,edsonayllon
134,Kristijan Sedlak,xpepermint
135,Christoph Burgdorf,cburgdorf
136,Barry WhiteHat,barryWhiteHat
137,Filip tamcar,filips123
138,Hadrien Croubois,amxx
139,Kelly Olson,ineffectualproperty
140,Joseph Stockermans,jstoxrocky
141,Hua Zhang,dgczhh
142,Guillaume Ballet,gballet
143,Kohshi Shiba,
144,Tom Brand,
145,Matt Garnett,lightclient
146,Aaron Kendall,jaerith
147,Soham Zemse,zemse
148,Joel Thorstensson,oed
149,Giuseppe Bertone,Neurone
150,Jonathan Underwood,junderw
151,Tony Carson,
152,Sina Mahmoodi,s1na
153,William Morriss,wjmelements
154,Nick Gheorghita,njgheorghita
155,Gianluca Perletti,Perlets9
156,Zach Burks,vexycats
157,Sergio Demian Lerner,SergioDemianLerner
158,Matt,defifuture
159,Peter Jihoon Kim,petejkim
160,Peter Grassberger,PeterTheOne
161,Youssef El Housni,yelhousni
162,Herman Junge,hermanjunge
163,Abdelhamid Bakhta,abdelhamidbakhta
164,Dr. Christopher Gorman,chgormanMH
165,Sam Wilson,SamWilsn
166,Michael Sproul,michaelsproul
167,Erik Marks,rekmarks
168,Zhenyu Sun,Ungigdu
169,Ben Tinner,Terra854
170,Alberto Cuesta Cañada,alcueca
171,Weijia Zhang,weijia31415
172,Victor Porton,vporton
173,Justice Hudson,jchancehud
175,mineruniter969,mineruniter969
176,Query0x,Query0x
177,Philippe Castonguay,PhABC
178,Calvin Koder,ashrowz
179,HexZorro,hexzorro
180,Nathan Ginnever,nginnever
181,pinkiebell,pinkiebell
182,Daniel Streit,danielstreit
183,Yu Liu,yuliu-debond
184,Alex Papageorgiou,alex-ppg
185,Will Wang,will42w
186,Sam Porter,SamPorter1984
187,Gajinder Singh,g11in
188,Dankrad Feist,dankrad
189,Joachim Lebrun,Joachim-Lebrun
190,Mikhail Kalinin,mkalinin
191,Auryn Macmillan,auryn-macmillan
192,Simon Tian,simontianx
194,Lukas Schor,lukasschor
195,Anton Bukov,k06a
196,Tim Beiko,timbeiko
197,Rex Creed,aug2uag
198,Wayne Chang,wyc
199,Jules Lai,julesl23
200,Ansgar Dietrichs,adietrichs
201,Daniel Ivanov,Daniel-K-Ivanov
202,George Kadianakis,asn-d6
203,Simon Fremaux,dievardump
204,Javier Arcenegui,Hardblock-IMSE-CNM
205,Brayton Goodall,Spore-Druid-Bray
206,Ross Campbell,z0r0z
207,William Schwab,wschwab
208,Aaron Chen,aaronisme
209,Joey Santoro,joeysantoro
210,Omar Aflak,omaraflak
211,David Kim,powerstream3604
212,Benjamin Chodroff,benjaminchodroff
213,Peter Davies,petertdavies
214,Andrei Maiboroda,gumb0
215,Alex Stokes,ralexstokes
216,David Buckman,davidbuckman
218,Joshua Tan,thelastjosh
220,Mark Mackey,ethDreamer
221,Andrew B Coathup,abcoathup
222,Omnus Sunmo,omnus
223,Anders,0xanders
224,Andreas Freund,Therecanbeonlyone1969
225,John Peterson,John-peterson-coinbase
226,Marius Van Der Wijden,MariusVanDerWijden
227,Víctor Muñoz,victormunoz
228,Ignacio Mazzara,nachomazzara
229,Shu Dong,dongshu2013
230,Tim Daubenschütz,TimDaub
231,Daniel Tedesco,dtedesco1
