author_id,mod_name,Full_Name,GitHub_Username,URL,GitHub_Followers,gh_matched_names,EIP_Num1,EIP_Num2,Status,tw_matched_names,extra_in_twitter,extra_in_gh,co_matched_names,extra_in_co
1,vitalikbuterin,Vitalik Buterin,vbuterin,https://github.com/vbuterin,11000,Vitalik Buterin,,,Correct,Vitalik Buterin,Alberto Cuesta Caria,Pooja Ranjan,Vitalik Buterin,g. nicholas d?€?andrea
2,martinholstswende,Martin Holst Swende,holiman,https://github.com/holiman,793,Martin Holst Swende,,,Correct,Martin Holst Swende,Tim Daubensch??tz,Gavin John,Martin Holst Swende,""
3,josephchow,Joseph Chow,ethers,https://github.com/ethers,433,Joseph Chow,,,Correct,Joseph Chow,Å tefan Å imec,Nagy,"",""
4,christianreitwiessner,Christian Reitwiessner,chriseth,https://github.com/chriseth,1300,Christian Reitwiessner,,,Correct,Christian Reitwiessner,Piotr KosiÅ„ski,Renan Rodrigues de Souza,Christian Reitwiessner,""
5,,Hudson Jameson,,,,,,,,Hudson Jameson,RaÃºl Kripalani,andrea,Hudson Jameson,""
6,felixlange,Felix Lange,fjl,https://github.com/fjl,743,Felix Lange,,,Correct,Felix Lange,Marta BellÃ©s,Yi Cai,Felix Lange,""
7,fabianvogelsteller,Fabian Vogelsteller,frozeman,https://github.com/frozeman,1800,Fabian Vogelsteller,,,Correct,Fabian Vogelsteller,Filip Å tamcar,eth,Fabian Vogelsteller,""
8,alexvandesande,Alex Van de Sande,alexvansande,https://github.com/alexvansande,40,Alex Van de Sande,,,Correct,Alex Van de Sande,SÃ¼leyman KardaÅŸ,Silvere Heraudeau,Alex Van de Sande,""
9,ronansandford,Ronan Sandford,wighawag,https://github.com/wighawag,689,Ronan Sandford,,,Correct,Ronan Sandford,David NÃºÃ±ez,Martin McConnell,Ronan Sandford,""
10,nickjohnson,Nick Johnson,Arachnid,https://github.com/Arachnid,1500,Nick Johnson,,,Correct,Nick Johnson,Lucas MartÃ­n Grasso Ramos,Keegan Lee,Nick Johnson,""
11,alexberegszaszi,Alex Beregszaszi,axic,https://github.com/axic,1600,Alex Beregszaszi,,,Correct,Alex Beregszaszi,IvÃ¡n MaÃ±Ãºs,Archie Chang,Alex Beregszaszi,""
12,tjadenhess,Tjaden Hess,tjade273,https://github.com/tjade273,108,Tjaden Hess,,,Correct,Tjaden Hess,Juan Carlos CantÃ³,Kai Yu,Tjaden Hess,""
13,gavinwood,Gavin Wood,gavofyork,https://github.com/gavofyork,3800,Gavin Wood,,,Correct,Gavin Wood,Christian ReitwieÃŸner,Yonathan Randyanto,Gavin Wood,""
14,maurelian,Maurelian,Maurelian,https://github.com/Maurelian,429,Maurelian,,,Correct,Maurelian,Roberto RomÃ¡n,Boyu Chu,"",""
15,,Christian Reitwiessner,,,,,,,,Christian Reitwiessner,SeÃ±or Doggo,Boxi Li,Christian Reitwiessner,""
16,nickmudge,Nick Mudge,mudgen,https://github.com/mudgen,665,Nick Mudge,,,Correct,Nick Mudge,AgustÃ­n Aguilar,Jason Cheng,Nick Mudge,""
17,pipermerriam,Piper Merriam,pipermerriam,https://github.com/pipermerriam,1100,Piper Merriam,,,Correct,Piper Merriam,MÃ¼cahit BÃ¼yÃ¼kyÄ±lmaz,Leger,"",""
18,peterszilagyi,Péter Szilágyi,karalabe,https://github.com/karalabe,2300,Péter Szilágyi,,,Correct,Peter Szilagyi,Muhammed Emin AydÄ±n,Francesco Sullo,Peter Szilagyi,""
19,micahzoltu,Micah Zoltu,micahzoltu,https://github.com/micahzoltu,452,Micah Zoltu,,,Correct,Micah Zoltu,Jan SmrÅ¾a,Chris Whinfrey,Micah Zoltu,""
20,gregcolvin,Greg Colvin,gcolvin,https://github.com/gcolvin,172,Greg Colvin,,,Correct,Greg Colvin,David RÃ¡bel,o,Greg Colvin,""
21,,Vlad Gluhovsky,,,,,,,,Vlad Gluhovsky,TomÃ¡Å¡ JanÄa,Ben Fusek,"",""
22,richardmoore,Richard Moore,ricmoo,https://github.com/ricmoo,1200,Richard Moore,,,Correct,Richard Moore,Jan BureÅ¡,Jack Boyuan Xu,Richard Moore,""
23,afrischoedon,Afri Schoedon,q9f,https://github.com/q9f,498,Afri Schoedon,,,Correct,Afri Schoedon,FrÃ©dÃ©ric Le Coidic,Zergity,Afri Schoedon,""
24,,Tobias Oberstein,,,,,,,,Tobias Oberstein,Julien BÃ©ranger,Ngo Quang Anh,Tobias Oberstein,""
25,nagy,Nagy,nagydani,https://github.com/nagydani,74,Daniel A. Nagy,681,,Fixed,Daniel A. Nagy,Anton WahrstÃ¤tter,BerlinP,"",""
26,,Yoichi Hirai,,,,,,,,Yoichi Hirai,Ernesto GarcÃ­a,Khanh Pham,Yoichi Hirai,""
27,isaacardis,Isaac Ardis,whilei,https://github.com/whilei,84,Isaac Ardis,,,Correct,Isaac Ardis,"",Shawn Zheng,"",""
28,,Cody Burns,,,,,,,,Cody Burns,"",George Huang,Cody Burns,""
29,remcobloemen,Remco Bloemen,Recmo,https://github.com/Recmo,474,Remco Bloemen,,,Correct,Remco Bloemen,"",Kay Lin,Remco Bloemen,""
30,williamentriken,William Entriken,fulldecent,https://github.com/fulldecent,890,William Entriken,,,Correct,William Entriken,"",Etan Kissling,William Entriken,""
31,danfinlay,Dan Finlay,DanFinlay,https://github.com/DanFinlay,707,Dan Finlay,,,Correct,Dan Finlay,"",Zahary Karadjov,Dan Finlay,""
32,,Jack Peterson,,,,,,,,Jack Peterson,"",Ivo Georgiev,"",""
33,,Jacques Dafflon,,,,,,,,Jacques Dafflon,"",Dexaran,Jacques Dafflon,""
34,caseydetrio,Casey Detrio,cdetrio,https://github.com/cdetrio,319,Casey Detrio,,,Correct,Casey Detrio,"",Baptiste Vauthey,"",""
35,ligi,ligi,ligi,https://github.com/ligi,1700,ligi,,,Correct,ligi,"",Fakdi,"",""
36,jordibaylina,Jordi Baylina,jbaylina,https://github.com/jbaylina,507,Jordi Baylina,,,Correct,Jordi Baylina,"",Zihao Chen,Jordi Baylina,""
37,,Kashish Khullar,,,,,,,,Kashish Khullar,"",Toni Wahrstätter,Kashish Khullar,""
38,,Carl Larson,,,,,,,,Carl Larson,"",Ben DiFrancesco,Carl Larson,""
39,,Dan Phifer,,,,,,,,Dan Phifer,"",Charles Cunningham,"",""
40,,Weiwu Zhang,,,,,,,,Weiwu Zhang,"",Bondy,Weiwu Zhang,""
41,,Dave Sag,,,,,,,,Dave Sag,"",Weiji Guo,Dave Sag,""
42,jorgeizquierdo,Jorge Izquierdo,izqui,https://github.com/izqui,649,Jorge Izquierdo,,,Correct,Jorge Izquierdo,"",Leeren,Jorge Izquierdo,""
43,,Dean Eigenmann,,,,,,,,Dean Eigenmann,"",Junyi Zhong,Dean Eigenmann,""
44,brooklynzelenka,Brooklyn Zelenka,expede,https://github.com/expede,772,Brooklyn Zelenka,,,Correct,Brooklyn Zelenka,"",Erhard Dinhobl,Brooklyn Zelenka,""
45,jamesray,James Ray,jamesray1,https://github.com/jamesray1,140,James Ray,,,Correct,James Ray,"",Kevin Riedl,"",""
46,,Jay Logelin,,,,,,,,Jay Logelin,"",Simon Brown,Jay Logelin,""
