,author_id,Full_Name,GitHub_Username,Anonymity_Flag
0,138.0,Hadrien Croubois,amxx,0
1,235.0,Green,greenlucid,1
2,122.0,James Hancock,MadeofTin,0
3,142.0,Guillaume Ballet,gballet,0
4,185.0,Will Wang,will42w,0
5,246.0,James,JamesSmartCell,1
6,17.0,Piper Merriam,pipermerriam,0
7,14.0,Maurelian,Maurelian,1
8,45.0,James Ray,jamesray1,0
9,184.0,Alex Papageorgiou,alex-ppg,0
10,202.0,George Kadianakis,asn-d6,0
11,282.0,HonorLabs,honorworldio,1
12,92.0,Christoph Mussenbrock,christoph2806,0
13,94.0,Michele Balistreri,bitgamma,0
14,62.0,Alexey Akhunov,AlexeyAkhunov,0
15,127.0,Martin Lundfall,MrChico,0
16,182.0,Daniel Streit,danielstreit,0
17,66.0,Jet Lim,Nitro888,0
18,227.0,Víctor Muñoz,victormunoz,0
19,223.0,Anders,0xanders,1
20,225.0,John Peterson,John-peterson-coinbase,0
21,181.0,pinkiebell,pinkiebell,1
22,139.0,Kelly Olson,ineffectualproperty,0
23,220.0,Mark Mackey,ethDreamer,0
24,207.0,William Schwab,wschwab,0
25,91.0,Kaidong Wu,,0
26,151.0,Tony Carson,,0
27,249.0,DerivStudio,DerivStudio,1
28,183.0,Yu Liu,yuliu-debond,0
29,35.0,ligi,ligi,1
30,25.0,Daniel A. Nagy,nagydani,0
31,169.0,Ben Tinner,Terra854,0
32,113.0,Michael Connor,iAmMichaelConnor,0
33,34.0,Casey Detrio,cdetrio,0
34,234.0,Lance,LanceSnow,1
35,47.0,David Stanfill,,0
36,156.0,Zach Burks,vexycats,0
37,168.0,Zhenyu Sun,Ungigdu,0
38,110.0,Charles Cooper,charles-cooper,0
39,74.0,SmeargleUsedFly,SmeargleUsedFly,1
40,143.0,Kohshi Shiba,,0
41,281.0,Firn Protocol,firnprotocol,0
42,230.0,Tim Daubenschütz,TimDaub,0
43,131.0,James Choncholas,james-choncholas,0
44,137.0,Filip tamcar,filips123,0
45,178.0,Calvin Koder,ashrowz,0
46,89.0,trustfarm,,1
47,233.0,Harikrishnan Mulackal,hrkrshnn,0
48,165.0,Sam Wilson,SamWilsn,0
49,158.0,Matt,defifuture,1
50,204.0,Javier Arcenegui,Hardblock-IMSE-CNM,0
51,121.0,Fernando Paris,,0
52,179.0,HexZorro,hexzorro,1
53,283.0,Timi,0xTimi,1
54,196.0,Tim Beiko,timbeiko,0
55,27.0,Isaac Ardis,whilei,0
56,262.0,Jan Smra,smrza,0
57,701.0,Bofu Chen,bafu,0
58,208.0,Aaron Chen,aaronisme,0
59,173.0,Justice Hudson,jchancehud,0
60,261.0,Jeremy Z,wnft,0
61,21.0,Vlad Gluhovsky,,0
62,296.0,Paul Edge,genkifs,0
63,260.0,IronMan_CH,coderfengyun,1
64,99.0,Paul Berg,PaulRBerg,0
65,32.0,Jack Peterson,,0
66,172.0,Victor Porton,vporton,0
67,132.0,Ricardo Guilherme Schmidt,3esmit,0
68,164.0,Dr. Christopher Gorman,chgormanMH,0
69,199.0,Jules Lai,julesl23,0
70,175.0,mineruniter969,mineruniter969,1
71,200.0,Ansgar Dietrichs,adietrichs,0
72,140.0,Joseph Stockermans,jstoxrocky,0
73,187.0,Gajinder Singh,g11in,0
74,211.0,David Kim,powerstream3604,0
75,251.0,Iván Mañús,ivanmmurciaua,0
76,136.0,Barry WhiteHat,barryWhiteHat,0
77,90.0,Iamnot Chris,cohabo,1
78,186.0,Sam Porter,SamPorter1984,0
79,86.0,Maxim Kupriianov,,0
80,213.0,Peter Davies,petertdavies,0
81,170.0,Alberto Cuesta Cañada,alcueca,0
82,237.0,Alexi,alexi,1
83,114.0,Johann Barbie,johannbarbie,0
84,65.0,Peter Murray,yarrumretep,0
85,238.0,Tyler,radiocaca,1
86,222.0,Omnus Sunmo,omnus,0
87,201.0,Daniel Ivanov,Daniel-K-Ivanov,0
88,203.0,Simon Fremaux,dievardump,0
89,109.0,Alexandre Belling,,0
90,176.0,Query0x,Query0x,1
91,210.0,Omar Aflak,omaraflak,0
92,49.0,Anderson Wesley,andywesley,0
93,146.0,Aaron Kendall,jaerith,0
94,197.0,Rex Creed,aug2uag,0
95,61.0,nitika-goel,,0
96,73.0,Xiaoyu Wang,wxygeek,0
97,125.0,Runchao Han,,0
98,216.0,David Buckman,davidbuckman,0
99,72.0,Jeff Huang,,0
100,236.0,Jarno Marttila,yaruno,0
101,255.0,Yan,yan253319066,1
102,77.0,EOS Classic,eosclassicteam,1
103,166.0,Michael Sproul,michaelsproul,0
104,702.0,Tammy Yang,tammyyang,0
105,487.0,Muhammed Emin Aydın,muhammedea,0
106,571.0,AlvisDu,AlvisDu,0
107,573.0,xardass,xardass,1
