File,Commit SHA,Commit Message,Commit Date
eip-1.md,7a6ebcc03c68065128222d37e1810dc302336daf,"Update EIP-1: Permit links to Execution Specs

Merged by EIP-Bot.",2023-04-06T19:22:47Z
eip-1.md,57bd09be5cc031c2a9adadae795c1666d3a2287f,"Update EIP-1: Update EIP-1 to include wording about The Finalizing Pull Request

Merged by EIP-Bot.",2023-04-05T14:06:34Z
eip-1.md,de190e5edc140d0f86d8833798326b6dc68392c5,"Update EIP-1: Make external links wording more specific

Merged by EIP-Bot.",2023-03-29T20:32:48Z
eip-1.md,39574f142225e8dfce2342113e6e3eff17b40414,Enforce the style guide rules (#6603),2023-03-15T01:39:31Z
eip-1.md,d40cf3ef4afeb8d9b32a141be8bf0a7b1305f2c1,"Update EIP-1: Add option to use GitHub username and email at once (#6543)

* Update EIP-1: Add option to use GitHub username and email at once

* Fix some things that I missed",2023-03-03T18:24:17Z
eip-1.md,8a9b7392ee67344d725a564c130a953371fd1950,"Update EIP-1: Fix markdownlint and link checker error (#6573)

* Update EIP-1: Fix markdownlint error

* Add csl-json thing to markdown link checker ignore",2023-02-24T15:40:57Z
eip-1.md,a9641dd61f9a683f62cf41d62402c7895a6822c2,Add name to EIP Editors (#6528),2023-02-21T05:24:18Z
eip-1.md,78ec759fae9266f1ff47d21d831e0321160f3584,Add myself to EIP-1 list (#6477),2023-02-09T18:11:35Z
eip-1.md,817635af862a49b7ad197b1cabeec2a35ee10cbc,"Update EIP-1: Reference ERCs by ERC-X (#5273)

* Make ERCs referenced as ERC-X

* While I'm at it, change should to must

* Make the two sentences a bit more similar

* Rephrase

* The bike shed has been built

Co-authored-by: Sam Wilson <57262657+SamWilsn@users.noreply.github.com>

---------

Co-authored-by: Sam Wilson <57262657+SamWilsn@users.noreply.github.com>",2023-02-05T05:58:48Z
eip-1.md,607e39bb3ccaa7b0fc4bc7b45add21fe49fa2a18,Update EIP-1: Use updated list of EL clients (#6161),2022-12-20T19:54:31Z
eip-1.md,66a9fc312f4861af39e032443c24c87a2493e9e5,"Update EIP-1: add devp2p repo as accepted external resource (#6034)

* eip-1: add devp2p repo as accepted external resource

* Fix minor grammatical error

Co-authored-by: Pandapip1 <45835846+Pandapip1@users.noreply.github.com>",2022-11-28T22:17:08Z
eip-1.md,509db2ffa492b895554dbcd204f5017ee41c50ea,"Update EIP-1: Add first two external origins (#5874)

* Add first two external origins

* Update EIPS/eip-1.md",2022-11-19T14:38:14Z
eip-1.md,b8a27d82629ea9135c093b46e0436d42d8b08b48,Clarify when to use `requires` (#5614),2022-11-16T15:31:56Z
