File,First Commit SHA,First Commit Message,First Commit Date,Last Commit SHA,Last Commit Message,Last Commit Date
eip-1.md,d723acb87b8f4c00ea5f388111625e21f98b4b3d,Update 'ERC#' to 'EIP#' for consistent documentation of EIPs in EIP-1 (#4625),2022-01-06 09:07:47+00:00,7a6ebcc03c68065128222d37e1810dc302336daf,"Update EIP-1: Permit links to Execution Specs

Merged by EIP-Bot.",2023-04-06 19:22:47+00:00
eip-100.md,0aa35f0e058557a340541f7f867ba7beb05fbe39,create file for EIP 100,2017-08-15 15:34:17+00:00,d6dfa555be623ff71f1f4b205aba8ffa2bc278dd,Fix author fields (#2065),2019-05-23 20:23:03+00:00
eip-101.md,47c2bd984a0a71691b2b513037f83433e99f3536,added draft for eip 101,2015-11-21 10:30:46+00:00,05f0b25666c91b761d0d82129c5fb3a670c113df,"Update author format to preferred name + GitHub username format, Vitalik (#4559)",2021-12-19 01:32:27+00:00
eip-1010.md,2f86b445faefc8a451045f09993d1228fbd79a91,"EIP 1010: Uniformity Between Two Addresses (#1010)

* Create eip-draft_uniformity_between_0xAb5801a7D398351b8bE11C439e05C5B3259aeC9B_and_0x15E55EF43efA8348dDaeAa455F16C43B64917e3c.md

* Fix typo

* Use pull request ID as tentative EIP

I think this might fix the Travis CI build errors

* Update and rename eip-draft_uniformity_between_0xAb5801a7D398351b8bE11C439e05C5B3259aeC9B_and_0x15E55EF43efA8348dDaeAa455F16C43B64917e3c.md to eip-1010.md",2018-04-19 13:22:15+00:00,9e393a79d9937f579acbdcb234a67869259d5a96,"Force usage of included LICENSE file (#5055)

* Include LICENCE in the Jekyll build

* Replace old licence link with new and improved licence link

* Add note to EIP-1 mandating the new link

* Maybe this fixes it?

* Rename LICENCE so that jekyll picks it up

* Add original LICENCE file back

* Delete the markdown file

* Add Jekyll header

Hopefully the tooling still detects it as CC0

* Remove Jekyll header

* Maybe this will trick Jekyll and satisfy github?

* Remove config changes

* Enable incremental build

* Will it work if I rename it?

* I'll just paste the content of the licence into the file...

* Perhaps this will work

* Replace the licence file

* Fix false positive

Co-authored-by: Micah Zoltu <micah@zoltu.net>

* Resolve feedback

* Perhaps this might work

* It didn't work

This reverts commit 55116e15168fb20ae57dea97388bb260c0941465.

* Will licencee still detect this correctly?

* Jekyll Preamble in licence file

* Include it?

* Licence -> License, get rid of CC0.md

* Force wording of copyright waiver

* Formatting consistent with the rest of the list

* Spelling

* Escape

* Task failed successfully

* Fix two more links

* Will this render it?

* Perhaps this will work too

* .md essential

* Fix the issues Micah noted

Co-authored-by: Micah Zoltu <micah@zoltu.net>",2022-05-06 07:29:09+00:00
eip-1011.md,622e6471eb22a3f39028fea6a2d9ae86de1c51d8,"Hybrid Casper FFG (#1011)

* Hybrid Casper FFG EIP

* [hybrid-casper-ffg] add EIP version number and rename file

* [hybrid-casper-ffg] fix broken sighash link",2018-04-20 13:21:20+00:00,9e393a79d9937f579acbdcb234a67869259d5a96,"Force usage of included LICENSE file (#5055)

* Include LICENCE in the Jekyll build

* Replace old licence link with new and improved licence link

* Add note to EIP-1 mandating the new link

* Maybe this fixes it?

* Rename LICENCE so that jekyll picks it up

* Add original LICENCE file back

* Delete the markdown file

* Add Jekyll header

Hopefully the tooling still detects it as CC0

* Remove Jekyll header

* Maybe this will trick Jekyll and satisfy github?

* Remove config changes

* Enable incremental build

* Will it work if I rename it?

* I'll just paste the content of the licence into the file...

* Perhaps this will work

* Replace the licence file

* Fix false positive

Co-authored-by: Micah Zoltu <micah@zoltu.net>

* Resolve feedback

* Perhaps this might work

* It didn't work

This reverts commit 55116e15168fb20ae57dea97388bb260c0941465.

* Will licencee still detect this correctly?

* Jekyll Preamble in licence file

* Include it?

* Licence -> License, get rid of CC0.md

* Force wording of copyright waiver

* Formatting consistent with the rest of the list

* Spelling

* Escape

* Task failed successfully

* Fix two more links

* Will this render it?

* Perhaps this will work too

* .md essential

* Fix the issues Micah noted

Co-authored-by: Micah Zoltu <micah@zoltu.net>",2022-05-06 07:29:09+00:00
eip-1013.md,6325b5418bb6f7db119577cb9a84d133350de8ad,"Constantinople EIP (#1013)

* Create constantinople.md

* Update and rename constantinople.md to eip-1013.md

* Update eip-1013.md

Add EIP-145

* Rename eip-1013.md to EIPS/eip-1013.md",2018-04-20 12:25:39+00:00,9e393a79d9937f579acbdcb234a67869259d5a96,"Force usage of included LICENSE file (#5055)

* Include LICENCE in the Jekyll build

* Replace old licence link with new and improved licence link

* Add note to EIP-1 mandating the new link

* Maybe this fixes it?

* Rename LICENCE so that jekyll picks it up

* Add original LICENCE file back

* Delete the markdown file

* Add Jekyll header

Hopefully the tooling still detects it as CC0

* Remove Jekyll header

* Maybe this will trick Jekyll and satisfy github?

* Remove config changes

* Enable incremental build

* Will it work if I rename it?

* I'll just paste the content of the licence into the file...

* Perhaps this will work

* Replace the licence file

* Fix false positive

Co-authored-by: Micah Zoltu <micah@zoltu.net>

* Resolve feedback

* Perhaps this might work

* It didn't work

This reverts commit 55116e15168fb20ae57dea97388bb260c0941465.

* Will licencee still detect this correctly?

* Jekyll Preamble in licence file

* Include it?

* Licence -> License, get rid of CC0.md

* Force wording of copyright waiver

* Formatting consistent with the rest of the list

* Spelling

* Escape

* Task failed successfully

* Fix two more links

* Will this render it?

* Perhaps this will work too

* .md essential

* Fix the issues Micah noted

Co-authored-by: Micah Zoltu <micah@zoltu.net>",2022-05-06 07:29:09+00:00
eip-1014.md,b582c6579bc119560d30a8e15b0ede7f302e8c30,"Skinny CREATE2 (#1014)

* Create Skinny_CREATE2.md

* Update Skinny_CREATE2.md

* Update and rename Skinny_CREATE2.md to eip-1014.md

* Update eip-1014.md

* Update eip-1014.md

* Update eip-1014.md

* Update eip-1014.md",2018-06-18 15:42:44+00:00,15f61ed0fda82ec86d8d6a872f6b874816f03d96,"Adds rule to EIP-1 that references to other EIPs must use relative path format and the first reference must be linked. (#2947)

I have gone through and updated all existing EIPs to match this rule, including EIP-1.

In some cases, people were using markdown citations, I suspect because the long-form was a bit verbose to inline.  Since the relative path is quite short, I moved these to inline but I wouldn't be opposed to putting them back to citation format if that is desired by the authors.

In doing the migration/cleanup, I found some EIP references to EIPs that don't actually exist.  In these cases I tried to excise the reference from the EIP as best I could.

It is worth noting that the Readme actually already had this rule, it just wasn't expressed properly in EIP-1 and the ""Citation Format"" section of the readme I think caused people a bit of confusion (when citing externally, you should use the citation format).",2020-09-30 04:22:43+00:00
eip-1015.md,6c487d9d0de0a8e8e2e3fa9bcb63cb94a40cfa39,"Variable issuance by on chain contract (#1015)

* Create EIP-X-on-chain-issuance-control.md

* Update and rename EIP-X-on-chain-issuance-control.md to EIP-1000-on-chain-issuance-control.md

* Update and rename EIP-1000-on-chain-issuance-control.md to EIP-1015-on-chain-issuance-control.md

* Rename EIP-1015-on-chain-issuance-control.md to EIP-1015.md

* Rename EIP-1015.md to eip-1015.md",2018-04-24 20:28:24+00:00,9e393a79d9937f579acbdcb234a67869259d5a96,"Force usage of included LICENSE file (#5055)

* Include LICENCE in the Jekyll build

* Replace old licence link with new and improved licence link

* Add note to EIP-1 mandating the new link

* Maybe this fixes it?

* Rename LICENCE so that jekyll picks it up

* Add original LICENCE file back

* Delete the markdown file

* Add Jekyll header

Hopefully the tooling still detects it as CC0

* Remove Jekyll header

* Maybe this will trick Jekyll and satisfy github?

* Remove config changes

* Enable incremental build

* Will it work if I rename it?

* I'll just paste the content of the licence into the file...

* Perhaps this will work

* Replace the licence file

* Fix false positive

Co-authored-by: Micah Zoltu <micah@zoltu.net>

* Resolve feedback

* Perhaps this might work

* It didn't work

This reverts commit 55116e15168fb20ae57dea97388bb260c0941465.

* Will licencee still detect this correctly?

* Jekyll Preamble in licence file

* Include it?

* Licence -> License, get rid of CC0.md

* Force wording of copyright waiver

* Formatting consistent with the rest of the list

* Spelling

* Escape

* Task failed successfully

* Fix two more links

* Will this render it?

* Perhaps this will work too

* .md essential

* Fix the issues Micah noted

Co-authored-by: Micah Zoltu <micah@zoltu.net>",2022-05-06 07:29:09+00:00
eip-1046.md,6b2bdaa7670672f87f30891ce63be43ef4aa9db2,"ERC20 metadata extension (#1046)

* Add initial EIP skeleton

* Initial take through ""Rationale""

* First very rough draft of ERC20 Metadata Extension

Nearly ready for comments by Matt, Matt, and John

* Initial ""Token Metadata Standard"" Proposal + small change to ERC721

- Added initial “Token Metadata JSON Schema”
- Re-named “ERC721 Metadata JSON Schema” to “Token Metadata JSON
Schema” in the ERC721 EIP

* ERC20 Metadata Extension ready to read

* Update Title of ERC Metadata Extension

* Fixing Matt's Github handle

Apparently Github handles for authors are meant to be “accurate” - who
knew?

* update grammatical errors; properly format JSON to remove excess commas

* update JSON descriptions & make grammatical changes to EIP

* Changed language in Token Metadata JSON Schema to reflect use by tokens which are not NFT's. Added clarification for backwards compatibility

* update authors and contact email

* Author Fix

* Removing Token Metadata Standard

This Branch will be just the ERC20 Token Metadata Extension

* Updates from reviewer comments

- Some grammar fixes
- Removed mentions of ERC721 standard code
- Added EIP # and discussion forum

* Fixing discussion-to

discussion-to instead of discussion-forum

* Should remove the change to 721

* 100% revert on ERC721

No changes to ERC721 in this PR now

* Discussions-to",2018-05-06 15:03:56+00:00,0b25ebf2436175ec77e96cc59ecdc167da73e64b,Update EIP-1046: Move to Final (#6701),2023-03-17 16:56:02+00:00
eip-1051.md,f160e2f9f3beeac4c072d549ba6c176ebfa2dec5,"Arithmetic overflow detection for the EVM (#1051)

* Create eip-x-overflow.md

* Update and rename eip-x-overflow.md to eip-1051.md

* Update eip-1051.md",2018-05-02 18:10:55+00:00,9e393a79d9937f579acbdcb234a67869259d5a96,"Force usage of included LICENSE file (#5055)

* Include LICENCE in the Jekyll build

* Replace old licence link with new and improved licence link

* Add note to EIP-1 mandating the new link

* Maybe this fixes it?

* Rename LICENCE so that jekyll picks it up

* Add original LICENCE file back

* Delete the markdown file

* Add Jekyll header

Hopefully the tooling still detects it as CC0

* Remove Jekyll header

* Maybe this will trick Jekyll and satisfy github?

* Remove config changes

* Enable incremental build

* Will it work if I rename it?

* I'll just paste the content of the licence into the file...

* Perhaps this will work

* Replace the licence file

* Fix false positive

Co-authored-by: Micah Zoltu <micah@zoltu.net>

* Resolve feedback

* Perhaps this might work

* It didn't work

This reverts commit 55116e15168fb20ae57dea97388bb260c0941465.

* Will licencee still detect this correctly?

* Jekyll Preamble in licence file

* Include it?

* Licence -> License, get rid of CC0.md

* Force wording of copyright waiver

* Formatting consistent with the rest of the list

* Spelling

* Escape

* Task failed successfully

* Fix two more links

* Will this render it?

* Perhaps this will work too

* .md essential

* Fix the issues Micah noted

Co-authored-by: Micah Zoltu <micah@zoltu.net>",2022-05-06 07:29:09+00:00
